,date,count,Compound,Positive,Negative,Neutral
0,2020-03-05,128,0.09595078125000003,0.0638984375,0.06619531250000002,0.8699218750000001
1,2020-03-06,790,-0.017133164556961976,0.0797797468354431,0.09443037974683544,0.8258063291139242
2,2020-03-07,1011,-0.06807309594460917,0.08198615232443128,0.11052917903066264,0.8074807121661737
3,2020-03-08,1495,-0.04913377926421364,0.06306421404682303,0.09057123745819416,0.8463645484949843
10,2020-03-09,1477,-0.07050575490859863,0.06601760324983062,0.09884157075152286,0.8351293161814525
4,2020-03-10,2046,-0.09659213098729304,0.07266373411534678,0.11805180840664672,0.8092746823069438
11,2020-03-11,3776,-0.08533167372881442,0.07403495762711898,0.11486943855932312,0.8110622351695026
12,2020-03-12,9154,-0.049641380817128496,0.0650066637535502,0.08717839195979908,0.8478078435656473
5,2020-03-13,4673,-0.11705401241172644,0.06425722234110844,0.10437748769526982,0.8310838861545141
13,2020-03-14,6155,-0.1164407798537766,0.05406953696181925,0.10637156783103194,0.8395556458164182
6,2020-03-15,3823,-0.14912364635103334,0.06670834423227825,0.13667120062777904,0.7966712006277872
7,2020-03-16,2472,-0.1142123786407765,0.06216504854368924,0.1114749190938511,0.8263685275080943
8,2020-03-17,3788,-0.07614247624075997,0.09061193241816216,0.14245300950369588,0.7669398099260819
14,2020-03-18,3720,-0.05156620967741833,0.11983763440860296,0.11747930107526905,0.7626344086021473
9,2020-03-19,3254,-0.03089975414874005,0.10307191149354664,0.109538721573448,0.7867910264290138
15,2020-03-20,3737,-0.10151573454642616,0.09611613593791872,0.12895129783248574,0.774704308268667
16,2020-03-21,2556,-0.04120485133020338,0.09218583724569666,0.10753169014084477,0.8003157276995322
17,2020-03-22,3160,-0.0221288924050628,0.11628544303797493,0.11706107594936853,0.766845886075946
18,2020-03-23,3161,-0.0057715912685862006,0.10636064536539017,0.127190129705788,0.7664988927554548
19,2020-03-24,2239,-0.02180835194283175,0.0825596248325145,0.13052925413130764,0.7870241179097854
20,2020-03-25,1916,-0.09033475991649267,0.0804791231732781,0.1169368475991645,0.8022228601252632
21,2020-03-26,1254,0.07991858054226486,0.1215398724082935,0.12545295055821365,0.7530199362041422
22,2020-03-27,1832,0.01385627729257623,0.09933951965065516,0.11693886462882128,0.7837090611353711
23,2020-03-28,1606,-0.02803474470734745,0.08999875466998779,0.09981942714819436,0.8101867995018657
24,2020-03-29,1776,-0.024820326576576547,0.09497409909909868,0.10811768018017984,0.7969003378378384
25,2020-03-30,1337,0.040236350037397235,0.10425729244577404,0.1071301421091997,0.7886028421839939
26,2020-03-31,1299,-0.01705373364126251,0.08961046959199401,0.10152809853733613,0.8087836797536573
27,2020-04-01,1458,-0.06879903978052146,0.10130521262002744,0.12407544581618675,0.7746543209876562
28,2020-04-02,383,-0.02240417754569189,0.0937232375979112,0.1035926892950392,0.8027049608355092
29,2020-04-03,1047,-0.09663390639923576,0.08348997134670492,0.11725883476599802,0.7992702960840498
30,2020-04-04,781,-0.08825300896286815,0.07517797695262486,0.1074865556978232,0.8173213828425095
31,2020-04-05,853,-0.09891101992966,0.0730128956623681,0.15036342321219195,0.7766342321219208
32,2020-04-06,1037,-0.18562246865959525,0.0675689488910318,0.182546769527483,0.7498659594985551
33,2020-04-07,940,-0.03932244680851065,0.08721276595744683,0.10484680851063843,0.8079425531914887
34,2020-04-08,989,-0.05589029322548069,0.0894388270980787,0.10912639029322556,0.801411526794742
35,2020-04-09,1323,0.00709727891156454,0.09217082388510953,0.09202116402116413,0.8158148148148139
36,2020-04-10,4944,-0.029845246763754062,0.0814257686084144,0.09046885113268613,0.8281017394822009
37,2020-04-11,5119,-0.06355292049228313,0.08586559874975537,0.10070619261574486,0.8134325063488961
38,2020-04-12,4730,-0.03522249471458745,0.09523403805496844,0.10732050739957782,0.79723382663848
39,2020-04-13,5693,-0.016026471104865502,0.09029123484981584,0.11726295450553292,0.7924398383980237
40,2020-04-14,3692,-0.00646679306608882,0.08919068255687998,0.12075677139761565,0.7900503791982668
41,2020-04-15,3351,-0.030633005073112382,0.0775529692629066,0.08977469412115764,0.8326723366159362
42,2020-04-16,4367,-0.010755644607281921,0.08938630638882572,0.09494206549118364,0.8152310510648029
43,2020-04-17,5117,-0.02229871018174695,0.08136095368379949,0.08684424467461364,0.831790111393394
44,2020-04-18,5319,-0.01903017484489579,0.08653825907125401,0.09207576612145156,0.8213611581124244
45,2020-04-19,4915,-0.026444679552390573,0.09006449643947123,0.09728931841302174,0.8126295015259396
46,2020-04-20,4732,0.005491483516483432,0.0925198647506342,0.095751901944209,0.8116386306001621
47,2020-04-21,5785,-0.0021928781331029086,0.08566793431287849,0.08456197061365575,0.8297578219533264
48,2020-04-22,5987,-0.06322836144980798,0.08309754468014019,0.10005896108234504,0.8168496742943021
49,2020-04-23,3298,-0.016530836870830942,0.08491237113402048,0.08980745906610063,0.8253132201334179
50,2020-04-24,5585,0.007732139659802985,0.09576132497761863,0.08924404655326794,0.8149858549686638
