,date,count,Compound,Positive,Negative,Neutral
0,2020-03-05,52,0.2403942307692309,0.09598076923076926,0.05403846153846156,0.8499807692307689
1,2020-03-06,478,-0.049265899581589945,0.07997489539748957,0.10016527196652712,0.8177803347280332
2,2020-03-07,635,-0.08565559055118108,0.0785984251968504,0.106971653543307,0.8144393700787401
3,2020-03-08,868,-0.035422811059907966,0.0715472350230417,0.08922580645161303,0.8380864055299524
10,2020-03-09,874,-0.10892791762013744,0.061643020594965674,0.10303089244851243,0.8353032036613293
4,2020-03-10,1109,-0.1219426510369701,0.06707213706041476,0.12573219116320994,0.8071614066726751
11,2020-03-11,3204,-0.06640174781523085,0.07518071161048702,0.11004993757802728,0.8147353308364601
12,2020-03-12,5189,-0.053666005010598594,0.06480978994025842,0.08943283869724332,0.8457492773174091
5,2020-03-13,2786,-0.1041645010768122,0.07081335247666891,0.10656963388370418,0.8225613783201773
13,2020-03-14,3461,-0.10539315226812963,0.061282577289800536,0.10625859578156624,0.8324608494654726
6,2020-03-15,2207,-0.13835328500226424,0.0672070684186679,0.13006796556411468,0.8027693701857813
7,2020-03-16,1416,-0.1099605932203392,0.0639187853107346,0.1105056497175139,0.8255790960451974
8,2020-03-17,2037,-0.09901192930780556,0.08752184585174219,0.1460702012763868,0.7664045164457577
14,2020-03-18,2282,-0.007677826468010934,0.12943382997370798,0.11711218229623108,0.7534237510955323
9,2020-03-19,1960,0.007231479591836542,0.1121153061224496,0.11079285714285672,0.7771081632653087
15,2020-03-20,2152,-0.06574716542750916,0.09935269516728627,0.12483457249070662,0.7758229553903357
16,2020-03-21,1512,-0.04369464285714298,0.1018657407407408,0.11467394179894165,0.783478835978834
17,2020-03-22,1857,-0.01488782983306421,0.1141443187937531,0.11569736133548793,0.7703516424340289
18,2020-03-23,2035,-0.02015675675675712,0.1039282555282551,0.12664226044226026,0.7694992628992606
19,2020-03-24,1479,-0.0028330628803246763,0.08710615280595001,0.11691480730223107,0.7960946585530791
20,2020-03-25,1203,-0.09062660016625104,0.08220947630922727,0.1152826267664174,0.8026525353283459
21,2020-03-26,879,0.06081092150170631,0.12046188850966967,0.12770648464163814,0.7518441410693968
22,2020-03-27,1228,0.01257858306188912,0.10657980456026042,0.1248314332247558,0.7685912052117262
23,2020-03-28,1114,-0.0376390484739677,0.09503949730700174,0.10585008976660694,0.7991211849192102
24,2020-03-29,1205,-0.06939518672199177,0.08962987551867202,0.11086970954356852,0.7994929460580901
25,2020-03-30,937,0.03283511205976529,0.09890928495197432,0.10778868729989327,0.7932764140875134
26,2020-03-31,982,-0.009960183299388995,0.09284725050916504,0.10062729124236224,0.8064399185336038
27,2020-04-01,1045,-0.07475368421052639,0.10222488038277518,0.12451100478468875,0.7732956937799071
28,2020-04-02,266,-0.03462631578947367,0.12322932330827067,0.11553383458646613,0.7612443609022549
29,2020-04-03,794,-0.0924842569269521,0.08484130982367757,0.12011712846347608,0.7950478589420652
30,2020-04-04,579,-0.08761934369602764,0.078713298791019,0.10669775474956823,0.8145785837651124
31,2020-04-05,613,-0.08767683523654157,0.07539151712887439,0.14757422512234902,0.7770309951060365
32,2020-04-06,821,-0.13925054811205825,0.08199756394640667,0.1722289890377588,0.7457734470158356
33,2020-04-07,722,-0.06722534626038784,0.08150831024930758,0.11260941828254853,0.8058324099723002
34,2020-04-08,763,-0.03295137614678903,0.0988374836173,0.10900000000000007,0.7921245085190034
35,2020-04-09,1026,0.05868908382066259,0.09956920077972714,0.08988401559454197,0.8105545808966864
36,2020-04-10,3856,-0.024579719917012452,0.08351607883817404,0.09202593360995867,0.8244634336099624
37,2020-04-11,4077,-0.07008184939906756,0.08484473877851316,0.10263870493009547,0.8125197449104673
38,2020-04-12,3567,-0.06203038968320724,0.0893608074011776,0.10688561816652674,0.8037443229604746
39,2020-04-13,4188,0.005630133715377365,0.0935549188156637,0.10019484240687704,0.8062425978987574
