,date,count,Compound,Positive,Negative,Neutral
0,2020-03-05,73,0.15943698630136996,0.08776712328767126,0.07352054794520546,0.8386849315068491
1,2020-03-06,570,-0.0799798245614035,0.07701754385964918,0.10600526315789467,0.8169859649122808
2,2020-03-07,563,-0.06973587921847252,0.08134991119005333,0.10238721136767318,0.8162770870337479
3,2020-03-08,798,-0.07122756892230593,0.057511278195488826,0.0933182957393484,0.8491691729323306
10,2020-03-09,701,-0.03747275320970038,0.07158202567760337,0.09094436519258214,0.83745934379458
4,2020-03-10,880,-0.06576931818181776,0.07163522727272721,0.11177386363636364,0.8165715909090878
11,2020-03-11,1414,-0.06996103253182435,0.07138755304101825,0.10905233380480933,0.8195374823196571
12,2020-03-12,3340,-0.0444866167664667,0.06607754491017988,0.08579431137724515,0.8481242514970112
5,2020-03-13,2265,-0.10475059602648994,0.06793024282560696,0.10592362030905132,0.8260940397350983
13,2020-03-14,2929,-0.1174172755206546,0.054069648344144704,0.1083250256060094,0.8375957664731991
6,2020-03-15,1724,-0.13553155452436125,0.06182018561484912,0.1262238979118334,0.8119744779582436
7,2020-03-16,1260,-0.12732880952380968,0.062407142857142876,0.1190880952380952,0.8185087301587303
8,2020-03-17,1795,-0.1270836768802225,0.08292256267409445,0.14682618384401114,0.7702378830083592
14,2020-03-18,1780,-0.08670842696629266,0.1177202247191014,0.12374831460674167,0.7584516853932619
9,2020-03-19,1270,-0.015350472440944863,0.11849999999999998,0.11012598425196826,0.770595275590552
15,2020-03-20,1476,-0.1096369918699186,0.09281233062330624,0.13063821138211382,0.7758760162601629
16,2020-03-21,1075,-0.03406846511627901,0.08611906976744169,0.10178790697674403,0.8121367441860446
17,2020-03-22,1350,-0.0040432592592592334,0.11424222222222155,0.10597185185185183,0.7799614814814765
18,2020-03-23,1255,-0.013535219123505979,0.0984159362549802,0.1180494023904376,0.7836270916334694
19,2020-03-24,1088,-0.04410045955882354,0.08093106617647063,0.13904044117647074,0.7801433823529436
20,2020-03-25,810,-0.09875333333333353,0.07657654320987663,0.11367901234567923,0.8099012345679016
21,2020-03-26,472,0.06949872881355927,0.1167266949152541,0.11708898305084747,0.7661758474576277
22,2020-03-27,772,0.005766709844559618,0.09456347150259073,0.11969430051813493,0.7857461139896379
23,2020-03-28,617,-0.038283630470016206,0.0837617504051864,0.09901134521880067,0.817243111831443
24,2020-03-29,774,0.01647894056847539,0.10037080103359178,0.09891085271317847,0.8007080103359189
25,2020-03-30,575,0.07131008695652181,0.10715999999999996,0.09712869565217393,0.7956939130434786
26,2020-03-31,534,-0.052029775280898895,0.07663108614232217,0.09680337078651677,0.8264887640449441
27,2020-04-01,624,-0.09509342948717947,0.0910689102564103,0.13094551282051273,0.7780256410256412
28,2020-04-02,181,-0.08965690607734814,0.09833701657458564,0.11938674033149164,0.7822762430939227
29,2020-04-03,402,-0.06540149253731345,0.08098507462686565,0.10793781094527373,0.8111069651741301
30,2020-04-04,341,-0.08392961876832845,0.07529032258064515,0.09733137829912022,0.8273519061583579
31,2020-04-05,451,-0.14110798226164076,0.07643237250554326,0.17558314855875815,0.7479977827051005
32,2020-04-06,509,-0.19484990176817288,0.07234774066797643,0.20242632612966574,0.7252180746561897
33,2020-04-07,380,-0.039697631578947366,0.08454736842105269,0.09402631578947364,0.8213921052631581
34,2020-04-08,479,0.03159436325678498,0.10468058455114827,0.09623590814196242,0.7990292275574105
35,2020-04-09,553,0.04996347197106691,0.10678300180831826,0.08673598553345382,0.8064737793851717
36,2020-04-10,1967,-0.0359775800711743,0.08394611082867309,0.0914209456024402,0.8241352313167267
37,2020-04-11,2041,-0.03635536501714845,0.098282214600686,0.10650612444879964,0.7952175404213578
38,2020-04-12,1913,-0.0002736016727652033,0.10027234709879793,0.100640878201777,0.799080501829588
39,2020-04-13,2029,-0.0001437161163134407,0.09565450961064527,0.1036505667816659,0.8006855593888604
40,2020-04-14,1338,-0.02126322869955155,0.09149999999999994,0.11017787742899866,0.7983034379671147
41,2020-04-15,1197,-0.06834527986633249,0.07806934001670847,0.09561654135338343,0.8263274853801174
42,2020-04-16,1644,-0.02420869829683699,0.08794647201946483,0.09610827250608277,0.8159476885644753
43,2020-04-17,1978,-0.04203751263902915,0.0762163801820021,0.08777553083923187,0.8360101112234589
44,2020-04-18,2170,-0.0059865898617511544,0.08748755760368672,0.08610276497695829,0.8263921658986171
45,2020-04-19,2063,-0.03975647115850701,0.08836888027144932,0.09952981095491988,0.8120819195346585
46,2020-04-20,1827,0.0271128078817734,0.09481226053639867,0.09203065134099578,0.8130492610837426
47,2020-04-21,2184,-0.02377683150183147,0.08610485347985349,0.09067536630036613,0.8227504578754579
48,2020-04-22,2378,-0.07027703952901586,0.08294533221194286,0.10062910008410418,0.8164264087468468
49,2020-04-23,1337,-0.05188661181750173,0.07927150336574437,0.09703590127150327,0.8237255048616318
50,2020-04-24,1978,-0.031820728008088994,0.09593579373104154,0.1015171890798788,0.8025343781597576
51,2020-04-25,1941,-0.03486924265842347,0.08757135497166411,0.0974899536321483,0.8149252962390567
52,2020-04-26,1912,-0.04478791841004192,0.09037813807531377,0.10017939330543947,0.8094450836820096
53,2020-04-27,1451,-0.061201240523777074,0.084393521709166,0.09756168159889736,0.8180854583046158
54,2020-04-28,1361,-0.07403445995591504,0.08291182953710492,0.0980484937545924,0.8190418809698762
55,2020-04-29,2289,-0.007265356050677102,0.09249410222804708,0.0929270423765835,0.8145356050677166
56,2020-04-30,1847,-0.04792225230102869,0.08927016783973994,0.09816134271792087,0.8125679480238257
57,2020-05-01,1779,-0.06255716694772351,0.08293648116919633,0.09731478358628436,0.8197588532883643
58,2020-05-02,2101,-0.12972760590195154,0.07472298905283184,0.1141442170395045,0.8111299381247024
59,2020-05-03,1962,-0.08646788990825717,0.08047757390417927,0.11048725790010218,0.8090326197757423
60,2020-05-04,2075,-0.05212245783132528,0.0830766265060244,0.10075807228915656,0.8161503614457835
0,2020-05-05,1581,-0.05570556609740661,0.08664136622390897,0.10511195445920293,0.8082498418722294
62,2020-05-06,2120,-0.08102858490566034,0.08696132075471702,0.10860707547169794,0.8044198113207585
63,2020-05-07,1005,-0.0826403980099504,0.08616815920398029,0.10782288557213926,0.8060228855721394
64,2020-05-08,1987,0.008424710619023652,0.0937599396074485,0.0900800201308504,0.8161529944640171
65,2020-05-09,2268,-0.019315388007054648,0.09357142857142847,0.09943165784832446,0.8070339506172853
66,2020-05-10,1773,-0.02549114495205869,0.0930315848843766,0.09898815566835886,0.8079881556683581
67,2020-05-11,2119,-0.11118598395469527,0.07669372345445985,0.10413591316658803,0.8192033978291626
