,date,count,Compound,Positive,Negative,Neutral
0,2020-03-05,29,0.26040344827586204,0.06982758620689655,0.039172413793103454,0.8909999999999999
1,2020-03-06,170,-0.09104235294117644,0.061835294117647085,0.08827058823529411,0.8498882352941175
2,2020-03-07,230,-0.15347782608695648,0.0731260869565218,0.1234695652173912,0.8034130434782604
3,2020-03-08,351,-0.050390883190883216,0.0593960113960114,0.07500854700854705,0.8655954415954424
10,2020-03-09,391,-0.11736828644501275,0.06718670076726344,0.10085166240409213,0.8319488491048584
4,2020-03-10,448,-0.1204426339285711,0.06726562500000012,0.12164062500000007,0.8110446428571413
11,2020-03-11,812,-0.06387967980295563,0.07743349753694577,0.10923522167487697,0.8132783251231537
12,2020-03-12,1793,-0.0544347462353595,0.059058561070831024,0.08243502509760192,0.8584952593418869
5,2020-03-13,896,-0.09098236607142852,0.06893415178571446,0.1044296875,0.8265747767857141
13,2020-03-14,1307,-0.13723917368018326,0.04997857689364956,0.105998469778118,0.844016067329761
6,2020-03-15,852,-0.18157676056338007,0.061483568075117324,0.1425234741784037,0.7948615023474191
7,2020-03-16,560,-0.11247482142857156,0.05791071428571429,0.10801428571428576,0.8340732142857141
8,2020-03-17,814,-0.05596289926289925,0.09095577395577396,0.14420393120393113,0.7648464373464399
14,2020-03-18,930,-0.03342430107526866,0.11901720430107535,0.11733225806451605,0.7635946236559169
9,2020-03-19,727,-0.0569079779917469,0.10030949105914708,0.12490646492434658,0.7748115543328745
15,2020-03-20,833,-0.07400744297719107,0.10081032412965192,0.13454741896758668,0.7646614645858335
16,2020-03-21,570,0.006648771929824538,0.11218596491228057,0.1046350877192983,0.7831771929824557
17,2020-03-22,679,-0.01347216494845367,0.11505596465390246,0.11690132547864478,0.7682768777614132
18,2020-03-23,830,0.012063132530120441,0.11828192771084345,0.12603012048192744,0.7557602409638573
19,2020-03-24,528,0.00930852272727272,0.0872708333333333,0.11470265151515167,0.7981155303030306
20,2020-03-25,530,-0.08130339622641516,0.07905849056603773,0.11234528301886797,0.8087264150943384
21,2020-03-26,313,0.08098753993610222,0.1267539936102236,0.12484345047923336,0.7484185303514359
22,2020-03-27,468,0.09124786324786294,0.11254700854700864,0.11734188034188038,0.7701196581196581
23,2020-03-28,375,-0.03949466666666666,0.0949626666666667,0.1057653333333334,0.7992986666666664
24,2020-03-29,411,-0.0378038929440389,0.09215085158150868,0.10634063260340637,0.8015036496350355
25,2020-03-30,354,0.1887932203389829,0.11326271186440676,0.08606497175141244,0.8006440677966107
26,2020-03-31,320,-0.00015031249999999631,0.084684375,0.090475,0.8247781249999997
27,2020-04-01,391,-0.030040153452685407,0.10490537084398986,0.12251150895140665,0.7725959079283888
28,2020-04-02,94,0.03583829787234042,0.10703191489361703,0.1141170212765958,0.7788617021276595
29,2020-04-03,277,-0.13690108303249102,0.0679675090252708,0.11906859205776177,0.812953068592058
30,2020-04-04,197,-0.05628071065989844,0.08207614213197968,0.10740101522842646,0.8105076142131981
31,2020-04-05,186,-0.05999086021505376,0.07809139784946237,0.1207795698924732,0.8011344086021508
32,2020-04-06,266,-0.2565601503759401,0.06120676691729321,0.1945714285714286,0.7442030075187976
33,2020-04-07,273,-0.10693919413919407,0.07638461538461537,0.1223919413919414,0.8011831501831498
34,2020-04-08,323,-0.05037337461300315,0.08907739938080504,0.1056315789473684,0.8052476780185756
35,2020-04-09,343,0.04448104956268219,0.10258309037900888,0.08681049562682214,0.8106443148688052
36,2020-04-10,1168,-0.027394863013698624,0.08651027397260291,0.08892208904109597,0.8245744863013694
37,2020-04-11,1206,-0.029678441127694893,0.09899004975124404,0.10111028192371443,0.799903814262023
38,2020-04-12,1172,-0.019137372013651874,0.10001194539249164,0.10454607508532388,0.7954453924914664
39,2020-04-13,1241,-0.045143352135374584,0.08983883964544713,0.11608702659145848,0.7940910556003238
40,2020-04-14,812,-0.017457635467980303,0.09382881773399007,0.11078078817733984,0.7953669950738912
41,2020-04-15,798,-0.08918458646616535,0.06511152882205509,0.09522681704260666,0.8396679197994984
42,2020-04-16,1043,-0.014288974113135204,0.08713039309683603,0.08790124640460215,0.8249904122722909
43,2020-04-17,1204,-0.008030730897009963,0.08686960132890396,0.08835714285714277,0.8247765780730891
44,2020-04-18,1256,-0.03562531847133756,0.08802468152866233,0.09498407643312108,0.8169888535031841
45,2020-04-19,1367,-0.023731455742501843,0.09133942940746152,0.09239868324798826,0.8162465252377451
46,2020-04-20,1137,-0.031444415127528574,0.08478452066842568,0.09109762532981523,0.8240571679859284
47,2020-04-21,1472,-0.013243885869565191,0.08762907608695637,0.09079823369565228,0.8215720108695675
48,2020-04-22,1464,-0.036962909836065615,0.08635655737704905,0.09569057377049192,0.8179590163934427
49,2020-04-23,816,0.0016321078431372634,0.0926029411764708,0.09097058823529414,0.8164669117647069
50,2020-04-24,1199,0.019097497914929,0.10385988323603,0.09560884070058397,0.8005262718932465
51,2020-04-25,1175,-0.09153897872340423,0.0793165957446809,0.1048187234042551,0.8149974468085115
52,2020-04-26,1014,-0.05650571992110472,0.09414398422090726,0.09952564102564096,0.8063284023668629
53,2020-04-27,853,-0.0621010550996484,0.09062133645955443,0.10176553341148883,0.8076318874560378
54,2020-04-28,978,-0.05330490797546019,0.08506237218813913,0.0949969325153374,0.8199519427402854
55,2020-04-29,1325,-0.014104150943396218,0.093657358490566,0.09379924528301868,0.8125230188679241
56,2020-04-30,1218,-0.0359015599343185,0.094390804597701,0.0995681444991793,0.8060484400656802
57,2020-05-01,1185,-0.006930886075949381,0.09618987341772156,0.09225316455696207,0.8115839662447258
58,2020-05-02,1157,-0.0982059636992222,0.08289628349178912,0.1176335350043214,0.7994433880726007
59,2020-05-03,1260,-0.10287634920634972,0.07798412698412696,0.11325396825396815,0.8087626984126971
60,2020-05-04,1350,-0.01827637037037037,0.08855629629629624,0.09817111111111124,0.8125325925925927
0,2020-05-05,1008,-0.03942827380952382,0.08982837301587315,0.10084523809523814,0.8093224206349209
62,2020-05-06,1449,-0.07046349206349206,0.08554313319530711,0.10326086956521703,0.8111870255348523
63,2020-05-07,472,-0.07590148305084743,0.0941271186440678,0.1053135593220339,0.8005572033898315
64,2020-05-08,1310,0.01036503816793894,0.09665038167938914,0.09189389312977084,0.811439694656489
65,2020-05-09,1076,-0.051206970260222966,0.0927499999999999,0.10591635687732327,0.8013559479553913
66,2020-05-10,1020,-0.03229431372549016,0.09636274509803927,0.10320784313725484,0.7994450980392148
67,2020-05-11,1404,-0.09575541310541318,0.07956766381766371,0.1000840455840456,0.820376068376067
68,2020-05-12,1317,-0.07181154138192844,0.08451936218678814,0.09919665907365237,0.8163029612756262
69,2020-05-13,756,-0.06875965608465606,0.08297089947089939,0.09621296296296288,0.8208267195767172
70,2020-05-14,1193,-0.04072288348700755,0.09751550712489522,0.09485414920368818,0.8076429170159262
71,2020-05-15,1175,-0.016016765957446794,0.10036425531914876,0.09795659574468063,0.8017004255319129
72,2020-05-16,977,-0.04695199590583413,0.09268986693961116,0.10974718526100292,0.7975209825997951
73,2020-05-17,1289,-0.0890868890612879,0.07953685027152828,0.10616446858029444,0.8143087664856455
74,2020-05-18,1240,0.02416588709677412,0.10545322580645193,0.0976153225806452,0.7969338709677428
75,2020-05-19,1091,-0.03793189734188818,0.08719981668194318,0.09809165902841448,0.8147204399633371
76,2020-05-20,1329,-0.052345522949586026,0.08719864559819421,0.10108502633559063,0.8117072987208431
77,2020-05-21,801,-0.04740998751560548,0.08485018726591767,0.09945193508114876,0.8157003745318349
78,2020-05-22,1263,-0.014077909738717306,0.09538321456848772,0.10351385589865407,0.8011298495645313
79,2020-05-23,1295,-0.1169860231660231,0.08517528957528946,0.11135675675675673,0.8034710424710408
80,2020-05-24,1196,0.017082274247491636,0.10462374581939783,0.09057692307692312,0.8048051839464836
81,2020-05-25,1283,0.02456204208885428,0.10415432579890888,0.09387451286048323,0.8019976617303215
82,2020-05-26,1200,-0.10555141666666663,0.08090916666666648,0.10879166666666663,0.8103008333333329
83,2020-05-27,764,-0.06312709424083777,0.07764397905759163,0.09968586387434558,0.8226806282722529
84,2020-05-28,1320,-0.09933136363636362,0.08717272727272729,0.11811136363636356,0.7947727272727269
85,2020-05-29,1086,-0.1429563535911603,0.08272099447513802,0.1295920810313077,0.7877163904235691
86,2020-05-30,1099,-0.2349020928116471,0.07165969062784355,0.1546123748862606,0.7727898089171964
87,2020-05-31,1592,-0.1892915829145725,0.09435427135678366,0.14661620603015146,0.7577317839196014
88,2020-06-01,1045,-0.16349244019138698,0.0722937799043063,0.11368516746411456,0.8140583732057416
89,2020-06-02,1052,-0.1254984790874525,0.07057129277566539,0.09739733840304182,0.8320285171102663
90,2020-06-03,855,-0.05342093567251472,0.09054385964912284,0.10134385964912268,0.8081473684210514
91,2020-06-04,1306,-0.1406539050535987,0.08120290964777954,0.12270214395099525,0.7953476263399691
92,2020-06-05,964,-0.2184142116182569,0.06801037344398328,0.1550964730290459,0.7769533195020737
93,2020-06-06,919,-0.16426572361262198,0.08267682263329698,0.14546354733405809,0.7718966267682291
94,2020-06-07,896,-0.1564747767857144,0.08462388392857148,0.13966406250000035,0.7756975446428573
95,2020-06-08,778,-0.10117210796915156,0.08249742930591251,0.10850128534704356,0.8090269922879177
96,2020-06-09,1122,-0.08535980392156847,0.07628787878787871,0.09763458110516908,0.8260659536541879
97,2020-06-10,765,-0.035775032679738514,0.06995294117647051,0.07784967320261453,0.8522209150326812
98,2020-06-11,1222,-0.004956873977086705,0.08729296235679226,0.08186579378068733,0.8308690671031097
