,date,count,Compound,Positive,Negative,Neutral
0,2020-03-05,73,0.2377890410958905,0.08816438356164387,0.05357534246575342,0.8582876712328766
1,2020-03-06,480,-0.011753958333333342,0.08248749999999995,0.09355416666666667,0.8239791666666666
2,2020-03-07,477,-0.12337693920335426,0.0763626834381551,0.11277568134171907,0.8108993710691822
3,2020-03-08,726,-0.045785950413223316,0.06688567493112961,0.08927548209366383,0.8438415977961428
10,2020-03-09,782,-0.07515524296675191,0.06557033248081838,0.09430562659846548,0.8401253196930949
4,2020-03-10,1075,-0.08137023255813937,0.07164186046511611,0.1184427906976743,0.8098762790697654
11,2020-03-11,1744,-0.02613864678899084,0.07957626146788985,0.10236639908256884,0.8174346330275221
12,2020-03-12,4214,-0.052604935927858885,0.06257332700522099,0.08411746559088693,0.8533004271476041
5,2020-03-13,2083,-0.09000321651464227,0.07041574651944289,0.10330532885261706,0.8262150744119059
13,2020-03-14,2888,-0.12172129501384993,0.051335180055401636,0.10610560941828306,0.8425644044321307
6,2020-03-15,1810,-0.15422535911602067,0.06469779005524863,0.13780220994475192,0.7969928176795656
7,2020-03-16,1243,-0.10333885760257452,0.06350442477876106,0.11124135156878523,0.8252526146419963
8,2020-03-17,1758,-0.02765017064846409,0.09754323094425428,0.13324175199089888,0.7692224118316289
14,2020-03-18,1892,-0.040048255813953486,0.1165776955602541,0.11182769556025376,0.7710412262156504
9,2020-03-19,1545,-0.01918957928802586,0.1069682847896441,0.10739482200647213,0.7843598705501644
15,2020-03-20,1635,-0.10596868501529033,0.09250948012232396,0.13032905198776748,0.7771657492354779
16,2020-03-21,1285,-0.02359470817120617,0.10316186770428,0.11221167315175093,0.784652140077819
17,2020-03-22,1522,-0.0073390932982918345,0.11659067017082733,0.11811563731931725,0.7655249671484838
18,2020-03-23,1654,-0.0324237001209191,0.1017237001209186,0.11966807738814947,0.7786886336154779
19,2020-03-24,1127,-0.03315634427684114,0.0829538598047916,0.11658030168589167,0.8005368234250242
20,2020-03-25,958,-0.02551064718162847,0.09208663883089786,0.10415762004175386,0.8038872651356995
21,2020-03-26,656,0.09562774390243887,0.12143140243902405,0.1215564024390244,0.7570182926829288
22,2020-03-27,912,0.08723508771929821,0.10930153508771888,0.10234320175438598,0.7883618421052629
23,2020-03-28,905,-0.020030497237569073,0.08861325966850853,0.09649502762430924,0.8148983425414379
24,2020-03-29,882,-0.01374603174603181,0.09919614512471647,0.10391156462585062,0.7968696145124731
25,2020-03-30,707,0.11482842998585573,0.1057623762376238,0.09440169731258836,0.7998288543140016
26,2020-03-31,716,-0.03216745810055867,0.0914189944134078,0.10256843575418992,0.8059287709497217
27,2020-04-01,888,-0.028793581081081068,0.11002815315315326,0.12104504504504485,0.7689538288288311
28,2020-04-02,213,-0.03227511737089203,0.08805633802816902,0.11067605633802816,0.8012816901408452
29,2020-04-03,553,-0.07147848101265818,0.08466546112115733,0.10951356238698012,0.8058191681735981
30,2020-04-04,418,-0.0422633971291866,0.08424641148325357,0.09883014354066988,0.8169090909090913
31,2020-04-05,406,-0.020741871921182268,0.0970467980295566,0.1319014778325124,0.7710615763546801
32,2020-04-06,621,-0.1748458937198063,0.07216425120772944,0.17683091787439578,0.750966183574879
33,2020-04-07,527,-0.04035123339658442,0.09075332068311204,0.0957798861480074,0.8134421252371921
34,2020-04-08,629,-0.045778855325914136,0.0931971383147852,0.10886645468998407,0.7978871224165308
35,2020-04-09,712,0.009732162921348271,0.08940589887640447,0.08831741573033708,0.8222935393258424
36,2020-04-10,2756,-0.0011039912917271486,0.08614658925979682,0.08460522496371546,0.8292587082728629
37,2020-04-11,2700,-0.03466807407407399,0.088771111111111,0.0939937037037037,0.8172422222222194
38,2020-04-12,2557,-0.0344603441533048,0.09743684004693004,0.10834141572154866,0.7942205709816198
39,2020-04-13,3076,-0.005774707412223607,0.09172431729518847,0.09981859557867366,0.8084372561768515
40,2020-04-14,1956,-0.000686349693251525,0.09200204498977503,0.10258588957055197,0.8053747443762789
41,2020-04-15,1742,-0.03686216991963266,0.07738404133180257,0.09065442020665902,0.8319638346727903
42,2020-04-16,2326,0.04370197764402412,0.09994797936371437,0.08682330180567513,0.8132248495270841
43,2020-04-17,2560,0.02086957031249998,0.09034101562499984,0.07981562500000022,0.8298406250000008
44,2020-04-18,2935,0.013569063032367944,0.09375604770017036,0.08678875638841553,0.8194504258943783
45,2020-04-19,2780,-0.02689888489208628,0.08581834532374065,0.09344352517985603,0.8207258992805792
46,2020-04-20,2521,0.018434311781039284,0.09688417294724333,0.08598373661245506,0.8170829036096758
47,2020-04-21,3269,-0.0031865096359742764,0.0870489446313856,0.08408259406546376,0.828865402263687
48,2020-04-22,3351,-0.022176007162041208,0.0902133691435397,0.09582661891972542,0.8139680692330631
49,2020-04-23,1925,0.01443968831168836,0.0864446753246751,0.08426545454545444,0.8293189610389592
50,2020-04-24,3002,0.02976595602931363,0.0981542305129912,0.0836968687541638,0.8181389073950703
51,2020-04-25,2820,-0.0500279432624116,0.08466950354609921,0.09998829787234048,0.8153432624113485
52,2020-04-26,2463,-0.04190933820544067,0.08900284206252508,0.09654933008526176,0.8144364596021095
53,2020-04-27,2069,-0.05623542774287084,0.0782759787336877,0.09363508941517652,0.8280942484291901
54,2020-04-28,2059,-0.03209460903351155,0.08484312773190869,0.08779018941233628,0.8273686255463829
55,2020-04-29,3162,0.026770746363061308,0.09275237191650837,0.08101834282099919,0.8262036685642008
56,2020-04-30,2806,0.024092908054169568,0.09525837491090533,0.08527619387027775,0.8194707769066288
57,2020-05-01,2687,0.01839847413472265,0.09058578340156287,0.08358764421287695,0.8258436918496469
58,2020-05-02,2624,-0.05755865091463418,0.08387233231707325,0.10135480182926797,0.8147823932926787
59,2020-05-03,2701,-0.04791751203258077,0.08346094039244707,0.10225842280636824,0.8142743428359908
60,2020-05-04,2839,-0.023757449806269808,0.08539520958083854,0.09551391334977112,0.8190845368087343
0,2020-05-05,2281,-0.03409820254274429,0.09125208241999123,0.10119070583077605,0.8075681718544492
62,2020-05-06,2959,-0.07092304832713751,0.08848935451165946,0.10417573504562347,0.8073190266982099
63,2020-05-07,1177,-0.09893126593033147,0.08685981308411223,0.1101512319456243,0.8029779099405275
64,2020-05-08,2876,0.08287548678720448,0.1040671070931852,0.07842941585535472,0.8174860917941598
65,2020-05-09,2548,-0.009971271585557296,0.09266326530612233,0.09258908948194672,0.8147892464678173
66,2020-05-10,2199,-0.02497580718508419,0.09567712596634824,0.10185175079581632,0.8024834015461557
67,2020-05-11,2963,-0.06949797502531188,0.08550050624367225,0.09563482956463036,0.818886938913264
68,2020-05-12,3038,-0.05000671494404213,0.0794690585911786,0.0911168531928903,0.8294107965767002
69,2020-05-13,1732,-0.06207667436489595,0.08414145496535802,0.09452309468822166,0.8213169745958426
70,2020-05-14,2815,-0.02141072824156313,0.09642699822380116,0.09163801065719357,0.8119612788632328
71,2020-05-15,2665,-0.001686116322701643,0.09690056285178232,0.09153170731707336,0.8115714821763603
72,2020-05-16,2226,-0.015260736747529131,0.089414645103324,0.09955031446540866,0.8109964061096121
73,2020-05-17,2426,-0.0369782769991757,0.08323536685902748,0.09555894476504527,0.8212007419620804
74,2020-05-18,2526,0.017260807600950074,0.10044220110847188,0.09353483768804402,0.8060225653206647
75,2020-05-19,2394,-0.013367752715121143,0.09032790309106103,0.09560609857978296,0.8132226399331636
76,2020-05-20,2939,-0.029637870023817486,0.08512555290915302,0.0932541680843825,0.8216080299421582
77,2020-05-21,1822,0.004289407244785965,0.08807025246981344,0.08639681668496157,0.8255340285400669
78,2020-05-22,2644,-0.06487405446293511,0.08463388804841154,0.1059784417549168,0.809406202723147
79,2020-05-23,2683,-0.09099776369735303,0.09106969809914232,0.10348117778606032,0.8054420424897488
80,2020-05-24,2495,0.0020242885771540654,0.10635551102204396,0.09678476953907772,0.796865731462922
81,2020-05-25,2693,0.02846286669142224,0.10164092090605288,0.08892610471593089,0.8094467137021929
82,2020-05-26,2770,-0.06979281588447657,0.08363212996389897,0.101814079422383,0.8145512635379067
83,2020-05-27,1660,-0.07489843373493976,0.07965662650602395,0.09800481927710833,0.8223415662650609
84,2020-05-28,2811,-0.06510711490572738,0.08665599430807534,0.10439416577730383,0.8089903948772689
85,2020-05-29,2207,-0.15795015858631678,0.08039963751699165,0.13356366107838613,0.7860367014046227
86,2020-05-30,2178,-0.1808704775022968,0.08266391184572999,0.14234022038567445,0.7745160697887978
87,2020-05-31,3323,-0.15084489918748167,0.10072073427625593,0.14099668973818832,0.7582256996689821
88,2020-06-01,2104,-0.15013949619771882,0.07218013307984789,0.11303136882129347,0.8147656844106441
89,2020-06-02,2040,-0.11963960784313693,0.07034558823529417,0.09305784313725513,0.8365882352941177
90,2020-06-03,1754,-0.03723785632839241,0.08976225769669323,0.10053477765108317,0.8097137970353514
91,2020-06-04,2684,-0.14225003725782362,0.07467921013412797,0.11483084947839092,0.8105108047690027
92,2020-06-05,1784,-0.16600050448430456,0.07480941704035869,0.1489663677130039,0.7762656950672631
93,2020-06-06,1852,-0.18148234341252625,0.08223920086393101,0.15186825053995787,0.7659038876889859
94,2020-06-07,1938,-0.1411273477812182,0.08429618163054707,0.1274633642930852,0.7881934984520118
95,2020-06-08,1661,-0.08007369054786243,0.08682901866345584,0.10416736905478656,0.8090096327513525
96,2020-06-09,2252,-0.05893241563055045,0.08143383658969792,0.0969857904085254,0.8215537300177634
97,2020-06-10,1248,-0.03673285256410271,0.08517868589743569,0.09481650641025632,0.8199735576923133
98,2020-06-11,2137,-0.04250678521291528,0.07873280299485244,0.08823490875058497,0.8330346279831551
99,2020-06-12,2550,-0.042704980392156734,0.08182117647058809,0.09322941176470596,0.8245756862745116
100,2020-06-13,1355,0.0036430996309964603,0.09222361623616264,0.08926568265682662,0.8185291512915129
101,2020-06-14,2042,-0.2419678256611159,0.08107884427032319,0.13328354554358465,0.7856919686581774
102,2020-06-15,3732,-0.1898610932475868,0.06710825294748153,0.1122331189710609,0.8205959271168403
103,2020-06-16,2744,-0.1023016399416898,0.07697193877551045,0.1041577988338192,0.8188505830903786
104,2020-06-17,2563,-0.056596800624268286,0.08710495513070697,0.0940335544284044,0.8188794381584102
105,2020-06-18,2195,0.025483234624145847,0.09027653758542152,0.08305284738040987,0.8266797266514814
106,2020-06-19,2767,0.10755016263100764,0.11431189013371836,0.0787784604264543,0.8069150704734369
107,2020-06-20,3053,-0.049923059285947737,0.09005568293481807,0.09429905011464193,0.8156321650835276
108,2020-06-21,2900,-0.1298801379310325,0.08636655172413878,0.11362206896551777,0.7999917241379336
109,2020-06-22,1836,-0.11875985838779952,0.07696405228758174,0.10429193899782116,0.8187641612200418
110,2020-06-23,3579,-0.07052794076557678,0.08911818943839027,0.1085954177144455,0.8022922604079363
111,2020-06-24,1801,-0.03699305941143784,0.1089294836202109,0.10710660744031056,0.7840305385896738
112,2020-06-25,3837,-0.04638193901485535,0.08590070367474574,0.10051863434975228,0.8136129788897539
113,2020-06-26,2682,-0.07353430275913499,0.08033407904548867,0.10462080536912756,0.8150216256524991
114,2020-06-27,3273,-0.047409471432936716,0.08399908340971607,0.0932930033608304,0.8227002749770836
115,2020-06-28,4422,-0.02973009950248848,0.08237901402080433,0.08857010402532682,0.8290472636815903
116,2020-06-29,4094,-0.017292452369321063,0.08022007816316552,0.08844723986321455,0.8313505129457763
117,2020-06-30,2177,-0.04115590261828217,0.08813918236104719,0.09767983463481897,0.8141672025723499
118,2020-07-01,3800,-0.04576228947368388,0.08325684210526338,0.0919081578947367,0.8248549999999979
119,2020-07-02,3033,0.02211236399604364,0.094118694362018,0.08860896801846367,0.8172268381140787
120,2020-07-03,2934,0.017091411042944794,0.09170449897750488,0.08470654396727997,0.8235552147239301
121,2020-07-04,3194,0.04030551033187218,0.11016624921728116,0.0950178459611777,0.7947833437695742
122,2020-07-05,3589,-0.1085288659793816,0.10138172192811366,0.11795319030370563,0.7806458623571916
123,2020-07-06,3225,-0.039986263565891314,0.08869953488372108,0.09250232558139558,0.8187792248062015
124,2020-07-07,2479,-0.08043106091165764,0.07257845905607065,0.09220129084308104,0.8351706333198877
125,2020-07-08,2481,-0.024187545344619032,0.08380209592906111,0.09400362756952804,0.8221652559451785
126,2020-07-09,3571,-0.013956902828339428,0.08694959395127402,0.0907166059927194,0.8223027163259621
127,2020-07-10,4296,0.0007483240223463772,0.08382565176908757,0.07970460893854807,0.8364625232774636
128,2020-07-11,3961,-0.09059800555415312,0.0840113607674835,0.09637389548093914,0.8193791971724365
129,2020-07-12,3536,-0.0881547794117649,0.07833682126696838,0.10328365384615416,0.8183984728506749
130,2020-07-13,4094,-0.06055307767464544,0.09157914020517877,0.09769858329262318,0.8107232535417708
131,2020-07-14,4188,-0.04303560171919829,0.09407999044890142,0.10593481375358063,0.7999787488061121
132,2020-07-15,4733,0.002058356222269232,0.10497358968941407,0.10034608070990862,0.7946805408831663
133,2020-07-16,4283,-0.003399836563156674,0.07923021246789698,0.08750688769554114,0.8332577632500585
134,2020-07-17,4473,-0.02878466353677622,0.08307556449810037,0.10270579029733973,0.8142023250614795
135,2020-07-18,3863,-0.08928216412114909,0.08448097333678459,0.11458374320476238,0.8006482008801448
136,2020-07-19,3584,-0.06483060825892846,0.08048577008928548,0.09977287946428594,0.8194494977678545
137,2020-07-20,3255,-0.054066758832565134,0.08813794162826437,0.09914685099846383,0.8127066052227399
138,2020-07-21,2769,-0.02353170819790551,0.10562260743950852,0.09415890213073323,0.8002845792704956
139,2020-07-22,3763,-0.056820967313313875,0.08810231198511848,0.09971113473292624,0.8121613074674465
140,2020-07-23,1615,-0.0652899690402479,0.09144458204334392,0.10739690402476812,0.8011275541795682
141,2020-07-24,2874,-0.04080403618649967,0.07556297842727891,0.08973034098817,0.8346764091858044
142,2020-07-25,3540,-0.029456892655367363,0.08459209039547938,0.09517062146892633,0.8202152542372886
143,2020-07-26,3293,-0.05553556027938021,0.0810601275432735,0.10433586395384144,0.8145860917096892
144,2020-07-27,2087,0.016116962146621925,0.09078869190225207,0.0908821274556782,0.8183248682319111
145,2020-07-28,5040,-0.06492200396825433,0.08161111111111112,0.0978394841269838,0.8205434523809534
146,2020-07-29,4944,0.02494836165048561,0.09448563915857593,0.09281108414239507,0.8126775889967689
147,2020-07-30,5503,-0.06571766309285873,0.08279356714519362,0.10766945302562203,0.8094777394148565
148,2020-07-31,4233,-0.009374651547365923,0.08755539806283934,0.09533971178832908,0.8170040160642522
149,2020-08-01,3866,-0.04239922400413841,0.08341179513709314,0.0979198137609927,0.8186099327470246
150,2020-08-02,3847,0.013109357941252923,0.09479230569274748,0.09042552638419524,0.8147748895242997
151,2020-08-03,3295,-0.06633572078907415,0.08047617602427919,0.09806403641881643,0.8214515933232165
152,2020-08-04,2198,-0.002779208371246559,0.08896132848043703,0.0911119199272066,0.8199135577798013
153,2020-08-05,2138,-0.04608956969130023,0.08515201122544447,0.10319317118802647,0.8115696913002824
154,2020-08-06,3111,-0.004305175184828116,0.08482127933140478,0.09438604950176832,0.8204394085503072
155,2020-08-07,1268,-0.06480433753943217,0.08107886435331227,0.10436198738170346,0.8145126182965272
156,2020-08-08,2088,-0.08406226053639826,0.09166618773946364,0.12749425287356364,0.7808989463601479
157,2020-08-09,2615,-0.03912653919694082,0.0923479923518164,0.10294378585085984,0.8047216061185469
158,2020-08-10,2086,0.0579477948226272,0.10514333652924268,0.09403211888782373,0.8008144774688404
159,2020-08-11,1770,0.04596689265536708,0.09772937853107333,0.08053898305084745,0.8217163841807897
160,2020-08-12,2349,0.03675789697743696,0.09055087271179213,0.0830361856108981,0.8264142188165157
