,date,today_tweetCount,today_CompoundSent,today_posSent,today_negSent,today_neutralSent,today_posCases,today_posIncCases,today_negCases,today_dataQualityGrade,mean3_tweetCount,mean3_CompoundSent,mean3_posSent,mean3_negSent,mean3_neutralSent,mean3_posCases,mean3_posIncCases,mean3_negCases,mean3_dataQualityGrade,median3_tweetCount,median3_CompoundSent,median3_posSent,median3_negSent,median3_neutralSent,median3_posCases,median3_posIncCases,median3_negCases,median3_dataQualityGrade,mean7_tweetCount,mean7_CompoundSent,mean7_posSent,mean7_negSent,mean7_neutralSent,mean7_posCases,mean7_posIncCases,mean7_negCases,mean7_dataQualityGrade,median7_tweetCount,median7_CompoundSent,median7_posSent,median7_negSent,median7_neutralSent,median7_posCases,median7_posIncCases,median7_negCases,median7_dataQualityGrade,population,density,predict3,predict7,predict14
6,2020-03-11,3776,-0.08533167372881442,0.07403495762711898,0.11486943855932312,0.8110622351695026,19,0,244.0,75,2433.0,-0.0841431865415687,0.07090543166409881,0.11058760590583093,0.8184887445526329,15.0,4.333333333333333,226.33333333333334,75.0,2046.0,-0.08533167372881442,0.07266373411534678,0.11486943855932312,0.8110622351695026,19.0,1.0,244.0,75.0,1531.857142857143,-0.041545545448641544,0.07163497795699912,0.09906984663616927,0.8292913854904258,9.571428571428571,2.142857142857143,200.85714285714286,75.0,1477.0,-0.06807309594460917,0.07266373411534678,0.09884157075152286,0.8258063291139242,6.0,1.0,191.0,75.0,12569300,226.3964,46.0,288.0,1865.0
7,2020-03-12,9154,-0.049641380817128496,0.0650066637535502,0.08717839195979908,0.8478078435656473,25,6,266.0,75,4992.0,-0.07718839517774533,0.07056845183200533,0.106699879641923,0.8227149203473645,21.0,6.0,251.33333333333334,75.0,3776.0,-0.08533167372881442,0.07266373411534678,0.11486943855932312,0.8110622351695026,19.0,6.0,244.0,75.0,2821.285714285714,-0.06234442574394562,0.07179329599322058,0.10206742941614057,0.8261322381426611,12.428571428571429,2.857142857142857,215.28571428571428,75.0,1495.0,-0.06807309594460917,0.07266373411534678,0.09884157075152286,0.8258063291139242,7.0,1.0,191.0,75.0,12569300,226.3964,64.0,422.0,2538.0
8,2020-03-13,4673,-0.11705401241172644,0.06425722234110844,0.10437748769526982,0.8310838861545141,32,7,294.0,75,5867.666666666667,-0.08400902231922314,0.06776628124059254,0.1021417727381307,0.8299846549632214,25.333333333333332,4.333333333333333,268.0,75.0,4673.0,-0.08533167372881442,0.0650066637535502,0.10437748769526982,0.8310838861545141,25.0,6.0,266.0,75.0,3376.0,-0.07661883258034054,0.06957579249402991,0.10348844483734547,0.8268861748627453,16.285714285714285,3.857142857142857,231.57142857142858,75.0,2046.0,-0.07050575490859863,0.06601760324983062,0.10437748769526982,0.8310838861545141,19.0,1.0,244.0,75.0,12569300,226.3964,93.0,585.0,3026.0
9,2020-03-14,6155,-0.1164407798537766,0.05406953696181925,0.10637156783103194,0.8395556458164182,46,14,316.0,75,6660.666666666667,-0.0943787243608772,0.061111141018825976,0.09930914916203365,0.839482458512193,34.333333333333336,9.0,292.0,75.0,6155.0,-0.1164407798537766,0.06425722234110844,0.10437748769526982,0.8395556458164182,32.0,7.0,294.0,75.0,4110.857142857143,-0.08352850171022161,0.06558770458508534,0.10289450038025538,0.8314683082413515,22.0,5.714285714285714,249.42857142857142,75.0,3776.0,-0.08533167372881442,0.0650066637535502,0.10437748769526982,0.8351293161814525,19.0,6.0,244.0,75.0,12569300,226.3964,159.0,753.0,3491.0
10,2020-03-15,3823,-0.14912364635103334,0.06670834423227825,0.13667120062777904,0.7966712006277872,64,18,449.0,75,4883.666666666667,-0.1275394795388455,0.06167836784506866,0.1158067520513603,0.8224369108662396,47.333333333333336,13.0,353.0,75.0,4673.0,-0.11705401241172644,0.06425722234110844,0.10637156783103194,0.8310838861545141,46.0,14.0,316.0,75.0,4443.428571428572,-0.09781276843691014,0.06610829461157894,0.10948020940448179,0.8243692585460377,30.285714285714285,8.285714285714286,286.2857142857143,75.0,3823.0,-0.09659213098729304,0.06601760324983062,0.10637156783103194,0.8310838861545141,25.0,7.0,266.0,75.0,12569300,226.3964,288.0,1049.0,4596.0
11,2020-03-16,2472,-0.1142123786407765,0.06216504854368924,0.1114749190938511,0.8263685275080943,93,29,932.0,75,4150.0,-0.12659226828186218,0.06098097657926225,0.11817256251755405,0.8208651246507664,67.66666666666667,20.333333333333332,565.6666666666666,75.0,3823.0,-0.1164407798537766,0.06216504854368924,0.1114749190938511,0.8263685275080943,64.0,18.0,449.0,75.0,4585.571428571428,-0.10405657182722126,0.06555792965355874,0.11128497345338582,0.8231177173069865,42.57142857142857,12.285714285714286,392.14285714285717,75.0,3823.0,-0.1142123786407765,0.0650066637535502,0.1114749190938511,0.8263685275080943,32.0,12.0,294.0,75.0,12569300,226.3964,422.0,1273.0,5057.0
12,2020-03-17,3788,-0.07614247624075997,0.09061193241816216,0.14245300950369588,0.7669398099260819,159,66,1340.0,75,3361.0,-0.11315950041085664,0.07316177506470989,0.1301997097417754,0.7966598460206544,105.33333333333333,37.666666666666664,907.0,75.0,3788.0,-0.1142123786407765,0.06670834423227825,0.13667120062777904,0.7966712006277872,93.0,29.0,932.0,75.0,4834.428571428572,-0.10113519257771654,0.06812195798253236,0.11477085932439283,0.8170698783954348,62.57142857142857,20.0,548.7142857142857,75.0,3823.0,-0.1142123786407765,0.0650066637535502,0.1114749190938511,0.8263685275080943,46.0,14.0,316.0,75.0,12569300,226.3964,585.0,1535.0,5994.0
13,2020-03-18,3720,-0.05156620967741833,0.11983763440860296,0.11747930107526905,0.7626344086021473,288,129,1763.0,75,3326.6666666666665,-0.08064035485298496,0.09087153845681813,0.12380240989093871,0.7853142486787744,180.0,74.66666666666667,1345.0,75.0,3720.0,-0.07614247624075997,0.09061193241816216,0.11747930107526905,0.7669398099260819,159.0,66.0,1340.0,75.0,4826.428571428572,-0.09631155485608853,0.07466519752274435,0.11514369682667083,0.8101516174572412,101.0,38.42857142857143,765.7142857142857,75.0,3823.0,-0.1142123786407765,0.0650066637535502,0.1114749190938511,0.8263685275080943,64.0,18.0,449.0,75.0,12569300,226.3964,753.0,1865.0,6980.0
14,2020-03-19,3254,-0.03089975414874005,0.10307191149354664,0.10953872157344802,0.7867910264290138,422,134,2725.0,75,3587.3333333333335,-0.052869480022306146,0.10450715944010393,0.12315701071747102,0.7721217483190808,289.6666666666667,109.66666666666667,1942.6666666666667,75.0,3720.0,-0.05156620967741833,0.10307191149354664,0.11747930107526905,0.7669398099260819,288.0,129.0,1763.0,75.0,3983.5714285714284,-0.09363417961774731,0.08010309005702955,0.1183380296286207,0.8014349292948649,157.71428571428572,56.714285714285715,1117.0,75.0,3788.0,-0.1142123786407765,0.06670834423227825,0.1114749190938511,0.7966712006277872,93.0,29.0,932.0,75.0,12569300,226.3964,1049.0,2538.0,7695.0
15,2020-03-20,3737,-0.10151573454642616,0.09611613593791872,0.12895129783248574,0.774704308268667,585,163,3696.0,75,3570.3333333333335,-0.06132723279086153,0.10634189394668946,0.11865644016040096,0.7747099144332757,431.6666666666667,142.0,2728.0,75.0,3720.0,-0.05156620967741833,0.10307191149354664,0.11747930107526905,0.774704308268667,422.0,134.0,2725.0,75.0,3849.8571428571427,-0.09141442563699012,0.08465436342800245,0.12184857393393725,0.7933807038826012,236.71428571428572,79.0,1603.0,75.0,3737.0,-0.10151573454642616,0.09061193241816216,0.11747930107526905,0.7867910264290138,159.0,66.0,1340.0,75.0,12569300,226.3964,1273.0,3026.0,8904.0
