,date,today_tweetCount,today_CompoundSent,today_posSent,today_negSent,today_neutralSent,today_posCases,today_posIncCases,today_negCases,today_dataQualityGrade,mean3_tweetCount,mean3_CompoundSent,mean3_posSent,mean3_negSent,mean3_neutralSent,mean3_posCases,mean3_posIncCases,mean3_negCases,mean3_dataQualityGrade,median3_tweetCount,median3_CompoundSent,median3_posSent,median3_negSent,median3_neutralSent,median3_posCases,median3_posIncCases,median3_negCases,median3_dataQualityGrade,mean7_tweetCount,mean7_CompoundSent,mean7_posSent,mean7_negSent,mean7_neutralSent,mean7_posCases,mean7_posIncCases,mean7_negCases,mean7_dataQualityGrade,median7_tweetCount,median7_CompoundSent,median7_posSent,median7_negSent,median7_neutralSent,median7_posCases,median7_posIncCases,median7_negCases,median7_dataQualityGrade,population,density,predict3,predict7,predict14
6,2020-03-12,1980,-0.05525020202020163,0.06494090909090916,0.08558030303030294,0.8489681818181832,4,3,41,75,1047.3333333333333,-0.07485268795498459,0.06933529420514846,0.10347187467841472,0.8269986236026434,2.0,1.0,33.0,75.0,745.0,-0.05525020202020163,0.06494090909090916,0.1033557046979866,0.8169592326139079,1.0,0.0,41.0,75.0,633.5714285714286,-0.06916376465780585,0.07266871919859079,0.09878823792231375,0.8284636552340564,1.1428571428571428,0.5714285714285714,19.428571428571427,75.0,400.0,-0.07062024999999995,0.07334366925064603,0.10097701149425282,0.8220816326530616,1.0,0.0,11.0,75.0,2917220,35.6807,8.0,34.0,168.0
7,2020-03-13,1048,-0.10937280534351132,0.07190458015267179,0.10529770992366412,0.8227309160305337,6,2,93,75,1257.6666666666667,-0.07006368701832939,0.0727918968619543,0.09807790588398457,0.828922518074852,3.6666666666666665,1.6666666666666667,58.333333333333336,75.0,1048.0,-0.05525020202020163,0.07190458015267179,0.1033557046979866,0.8227309160305337,4.0,2.0,41.0,75.0,748.2857142857143,-0.08317568145615004,0.07034663298133399,0.1010080273866273,0.8285564100022668,2.0,0.8571428571428571,32.142857142857146,75.0,417.0,-0.08464263565891475,0.07190458015267179,0.1033557046979866,0.8227309160305337,1.0,0.0,17.0,75.0,2917220,35.6807,11.0,44.0,202.0
8,2020-03-14,1300,-0.12201492307692274,0.05352846153846159,0.10804615384615393,0.838414615384614,6,0,93,75,1442.6666666666667,-0.09554597681354525,0.06345798359401418,0.09964138893337367,0.8367045710777771,5.333333333333333,1.6666666666666667,75.66666666666667,75.0,1300.0,-0.10937280534351132,0.06494090909090916,0.10529770992366412,0.838414615384614,6.0,2.0,93.0,75.0,896.7142857142857,-0.08731552542061463,0.06722179907960354,0.10201790486547031,0.8306670912367409,2.857142857142857,0.8571428571428571,43.857142857142854,75.0,745.0,-0.08464263565891475,0.06494090909090916,0.10471834625323002,0.8227309160305337,1.0,0.0,41.0,75.0,2917220,35.6807,15.0,55.0,261.0
9,2020-03-15,870,-0.06317954022988513,0.08297011494252858,0.11723333333333333,0.7998229885057473,8,2,135,75,1072.6666666666667,-0.09818908955010641,0.06946771887788732,0.11019239903438378,0.8203228399736316,6.666666666666667,1.3333333333333333,107.0,75.0,1048.0,-0.10937280534351132,0.07190458015267179,0.10804615384615393,0.8227309160305337,6.0,2.0,93.0,75.0,963.8571428571429,-0.0862525668820268,0.06996467264282191,0.1065301667702322,0.8234157324518475,3.857142857142857,1.0,61.57142857142857,75.0,870.0,-0.08464263565891475,0.07190458015267179,0.10529770992366412,0.8219457364341078,4.0,0.0,41.0,75.0,2917220,35.6807,16.0,64.0,319.0
10,2020-03-16,563,-0.07187282415630554,0.06842273534635877,0.10583303730017757,0.8257673179396087,11,3,166,75,911.0,-0.08568909582103783,0.06830710394244964,0.11037084149322161,0.8213349739433234,8.333333333333334,1.6666666666666667,131.33333333333334,75.0,870.0,-0.07187282415630554,0.06842273534635877,0.10804615384615393,0.8257673179396087,8.0,2.0,135.0,75.0,989.0,-0.08442830809593979,0.06926168208506658,0.10668940834836757,0.8239616726669191,5.285714285714286,1.4285714285714286,83.71428571428571,75.0,870.0,-0.07187282415630554,0.06842273534635877,0.10583303730017757,0.8227309160305337,6.0,2.0,93.0,75.0,2917220,35.6807,34.0,82.0,368.0
11,2020-03-17,828,-0.041251086956521736,0.0987427536231884,0.13238526570048315,0.7688840579710158,15,4,382,75,753.6666666666666,-0.05876781711423749,0.0833785346373586,0.118483878777998,0.798158121472124,11.333333333333334,3.0,227.66666666666666,75.0,828.0,-0.06317954022988513,0.08297011494252858,0.11723333333333333,0.7998229885057473,11.0,3.0,166.0,75.0,1047.7142857142858,-0.07264420506780332,0.07457710800520004,0.10824735826172881,0.8170937905750773,7.285714285714286,2.0,135.85714285714286,75.0,870.0,-0.06317954022988513,0.07190458015267179,0.10583303730017757,0.8227309160305337,6.0,2.0,93.0,75.0,2917220,35.6807,44.0,98.0,428.0
12,2020-03-18,866,-0.012548729792147795,0.12711431870669748,0.11319284064665112,0.7596743648960765,16,1,417,75,752.3333333333334,-0.041890880301658384,0.09809326922541489,0.11713704788243728,0.784775246935567,14.0,2.6666666666666665,321.6666666666667,75.0,828.0,-0.041251086956521736,0.0987427536231884,0.11319284064665112,0.7688840579710158,15.0,3.0,382.0,75.0,1065.0,-0.06792715879649941,0.0810891247715451,0.10965266339725231,0.8091803489351111,9.428571428571429,2.142857142857143,189.57142857142858,75.0,870.0,-0.06317954022988513,0.07190458015267179,0.10804615384615393,0.8227309160305337,8.0,2.0,135.0,75.0,2917220,35.6807,55.0,126.0,482.0
13,2020-03-19,771,-0.03796744487678335,0.10631776913099876,0.11049286640726323,0.7819221789883253,34,18,417,75,821.6666666666666,-0.030589087208484324,0.11072494715362823,0.11869032425146585,0.7701602006184726,21.666666666666668,7.666666666666667,405.3333333333333,75.0,828.0,-0.03796744487678335,0.10631776913099876,0.11319284064665112,0.7688840579710158,16.0,4.0,417.0,75.0,892.2857142857143,-0.06545819349029679,0.08700010477727219,0.11321160102253235,0.7996023485308458,13.714285714285714,4.285714285714286,243.28571428571428,75.0,866.0,-0.06317954022988513,0.08297011494252858,0.11049286640726323,0.7998229885057473,11.0,2.0,166.0,75.0,2917220,35.6807,64.0,168.0,552.0
14,2020-03-20,771,-0.07479701686121941,0.09197276264591446,0.11381452658884544,0.7942140077821006,44,10,417,75,802.6666666666666,-0.04177106384338355,0.10846828349453691,0.11250007788091994,0.7786035172221674,31.333333333333332,9.666666666666666,417.0,75.0,771.0,-0.03796744487678335,0.10631776913099876,0.11319284064665112,0.7819221789883253,34.0,10.0,417.0,75.0,852.7142857142857,-0.06051879513568365,0.08986698799059258,0.11442828911755823,0.7955285044953552,19.142857142857142,5.428571428571429,289.57142857142856,75.0,828.0,-0.06317954022988513,0.09197276264591446,0.11319284064665112,0.7942140077821006,15.0,3.0,382.0,75.0,2917220,35.6807,82.0,202.0,620.0
15,2020-03-21,574,-0.01787177700348432,0.09867073170731706,0.10302961672473858,0.7983222996515686,55,11,417,75,705.3333333333334,-0.04354541291382905,0.09898708782807676,0.10911233657361576,0.7914861621406648,44.333333333333336,13.0,417.0,75.0,771.0,-0.03796744487678335,0.09867073170731706,0.11049286640726323,0.7942140077821006,44.0,11.0,417.0,75.0,749.0,-0.04564120283947816,0.0963158837290005,0.11371164095735604,0.7898010308192059,26.142857142857142,7.0,335.85714285714283,75.0,771.0,-0.041251086956521736,0.09867073170731706,0.11319284064665112,0.7942140077821006,16.0,4.0,417.0,75.0,2917220,35.6807,98.0,261.0,698.0
16,2020-03-22,729,-0.024458436213991783,0.10711659807956088,0.1100685871056238,0.7829821673525356,64,9,417,75,691.3333333333334,-0.03904241002623187,0.09925336414426413,0.10897091013973594,0.7918394915954016,54.333333333333336,10.0,417.0,75.0,729.0,-0.024458436213991783,0.09867073170731706,0.1100685871056238,0.7942140077821006,55.0,10.0,417.0,75.0,728.8571428571429,-0.0401096165514934,0.09976538132000512,0.11268810578196897,0.7873951992258901,34.142857142857146,8.0,376.14285714285717,75.0,771.0,-0.03796744487678335,0.0987427536231884,0.11049286640726323,0.7829821673525356,34.0,9.0,417.0,75.0,2917220,35.6807,126.0,319.0,747.0
17,2020-03-23,670,-0.02381194029850746,0.10859701492537302,0.12558955223880588,0.7658835820895521,82,18,417,85,657.6666666666666,-0.02204738450532788,0.10479478157075033,0.11289591868972276,0.7823960163645521,67.0,12.666666666666666,417.0,78.33333333333333,670.0,-0.02381194029850746,0.10711659807956088,0.1100685871056238,0.7829821673525356,64.0,11.0,417.0,75.0,744.1428571428571,-0.03324377600037939,0.10550456411700715,0.11551046505891586,0.7788403798187391,44.285714285714285,10.142857142857142,412.0,76.42857142857143,771.0,-0.024458436213991783,0.10631776913099876,0.11319284064665112,0.7819221789883253,44.0,10.0,417.0,75.0,2917220,35.6807,168.0,368.0,845.0
