,date,today_tweetCount,today_CompoundSent,today_posSent,today_negSent,today_neutralSent,today_posCases,today_posIncCases,today_negCases,today_dataQualityGrade,mean3_tweetCount,mean3_CompoundSent,mean3_posSent,mean3_negSent,mean3_neutralSent,mean3_posCases,mean3_posIncCases,mean3_negCases,mean3_dataQualityGrade,median3_tweetCount,median3_CompoundSent,median3_posSent,median3_negSent,median3_neutralSent,median3_posCases,median3_posIncCases,median3_negCases,median3_dataQualityGrade,mean7_tweetCount,mean7_CompoundSent,mean7_posSent,mean7_negSent,mean7_neutralSent,mean7_posCases,mean7_posIncCases,mean7_negCases,mean7_dataQualityGrade,median7_tweetCount,median7_CompoundSent,median7_posSent,median7_negSent,median7_neutralSent,median7_posCases,median7_posIncCases,median7_negCases,median7_dataQualityGrade,population,density,predict3,predict7,predict14
6,2020-03-18,1806,-0.06205825027685528,0.0980454042081952,0.10640808416389806,0.7955105204872687,156.0,38,2115.0,75,1602.0,-0.07617135798267234,0.07963577455129352,0.11029999382991364,0.8098693204413387,123.66666666666667,30.666666666666668,1649.0,75.0,1756.0,-0.07446788154897513,0.08211674259681075,0.10640808416389806,0.7955105204872687,118.0,33.0,1633.0,75.0,2219.8571428571427,-0.06987927794586149,0.07400287123386447,0.10202550383293803,0.8238147798148868,72.0,22.285714285714285,790.1428571428571,75.0,2049.0,-0.07446788154897513,0.07328892142508525,0.09822025723472674,0.8308711566617863,64.0,21.0,584.0,75.0,6912240,886.1846,426.0,1739.0,7639.0
7,2020-03-19,1753,-0.02233023388476897,0.08979977181973775,0.09267370222475754,0.8163930405019959,229.0,73,2918.0,75,1771.6666666666667,-0.052952121903533156,0.08998730620824787,0.10845114215992391,0.8009839888187457,167.66666666666666,44.0,2222.0,75.0,1756.0,-0.06205825027685528,0.08979977181973775,0.10640808416389806,0.7955105204872687,156.0,38.0,2115.0,75.0,1900.857142857143,-0.06711412893377244,0.07747856797508276,0.10307669647389152,0.8191268240927492,103.57142857142857,31.571428571428573,1207.0,75.0,1806.0,-0.07446788154897513,0.07745773979107308,0.09822025723472674,0.8172293447293498,97.0,26.0,1199.0,75.0,6912240,886.1846,547.0,2318.0,8867.0
8,2020-03-20,1981,-0.05601726400807664,0.09376829883897007,0.10778849066128232,0.7984502776375582,314.0,85,3795.0,75,1846.6666666666667,-0.04680191605656699,0.09387115828896765,0.10229009234997932,0.8034512795422742,233.0,65.33333333333333,2942.6666666666665,75.0,1806.0,-0.05601726400807664,0.09376829883897007,0.10640808416389806,0.7984502776375582,229.0,73.0,2918.0,75.0,1891.142857142857,-0.06362602142157482,0.08040419331992345,0.10486388307118406,0.8144952699464307,145.14285714285714,41.57142857142857,1749.142857142857,75.0,1806.0,-0.06205825027685528,0.08211674259681075,0.10536324786324812,0.8163930405019959,118.0,33.0,1633.0,75.0,6912240,886.1846,678.0,3151.0,10303.0
9,2020-03-21,1353,0.0024198078344419977,0.08743828529194375,0.0860679970436066,0.8265121951219504,426.0,112,4799.0,75,1695.6666666666667,-0.025309230019467898,0.09033545198355052,0.09551006330988215,0.8137851710871682,323.0,90.0,3837.3333333333335,75.0,1753.0,-0.02233023388476897,0.08979977181973775,0.09267370222475754,0.8163930405019959,314.0,85.0,3795.0,75.0,1714.142857142857,-0.05184057488790679,0.08391020277080075,0.1032562027546622,0.8125989741878386,200.57142857142858,55.42857142857143,2434.714285714286,75.0,1756.0,-0.05844226020892704,0.08743828529194375,0.10536324786324812,0.8163930405019959,156.0,38.0,2115.0,75.0,6912240,886.1846,1060.0,4158.0,11637.0
10,2020-03-22,1697,-0.0007252799057159813,0.10617560400707096,0.10006540954625842,0.7939157336476093,547.0,121,5476.0,75,1677.0,-0.0181075786931169,0.0957940627126616,0.09797396575038246,0.8062927354690391,429.0,106.0,4690.0,75.0,1697.0,-0.0007252799057159813,0.09376829883897007,0.10006540954625842,0.7984502776375582,426.0,112.0,4799.0,75.0,1655.7142857142858,-0.04359529198744806,0.08801275480165759,0.10249936870937795,0.8092684583190185,269.57142857142856,69.0,3133.5714285714284,75.0,1753.0,-0.05601726400807664,0.08979977181973775,0.10006540954625842,0.7984502776375582,229.0,73.0,2918.0,75.0,6912240,886.1846,1739.0,4856.0,12402.0
11,2020-03-23,1619,0.013756392835083396,0.09656454601605906,0.10860592958616366,0.7949054972205057,678.0,131,8263.0,85,1556.3333333333333,0.005150306921269779,0.09672614510502459,0.09824644539200957,0.8051111419966883,550.3333333333334,121.33333333333333,6179.333333333333,78.33333333333333,1619.0,0.0024198078344419977,0.09656454601605906,0.10006540954625842,0.7949054972205057,547.0,121.0,5476.0,75.0,1709.2857142857142,-0.02848895842212379,0.09341552182554105,0.10398303618815466,0.8023908100119801,352.57142857142856,83.0,4142.714285714285,76.42857142857143,1753.0,-0.02233023388476897,0.09376829883897007,0.10640808416389806,0.7955105204872687,314.0,85.0,3795.0,75.0,6912240,886.1846,2318.0,5653.0,13739.0
12,2020-03-24,1231,0.03301047928513386,0.09386596263200638,0.10393338748984586,0.8023281884646646,1060.0,382,12714.0,85,1515.6666666666667,0.015347197404833734,0.09886870421837879,0.104201575540756,0.7970498064442597,761.6666666666666,211.33333333333334,8817.666666666666,81.66666666666667,1619.0,0.013756392835083396,0.09656454601605906,0.10393338748984586,0.7949054972205057,678.0,131.0,8263.0,85.0,1634.2857142857142,-0.013134906874393932,0.09509398183056901,0.10079185724511605,0.8040022075830789,487.14285714285717,134.57142857142858,5725.714285714285,77.85714285714286,1697.0,-0.0007252799057159813,0.09386596263200638,0.10393338748984586,0.7984502776375582,426.0,112.0,4799.0,75.0,6912240,886.1846,3151.0,6521.0,15104.0
13,2020-03-25,1206,-0.0411178275290217,0.08388723051409634,0.09627860696517432,0.8199601990049756,1739.0,679,18079.0,85,1352.0,0.0018830148637318282,0.09143924638738725,0.10293930801372797,0.8057312948967151,1159.0,397.3333333333333,13018.666666666666,85.0,1231.0,0.013756392835083396,0.09386596263200638,0.10393338748984586,0.8023281884646646,1060.0,382.0,12714.0,85.0,1548.5714285714287,-0.01014341791041771,0.09307138558855488,0.0993447890738698,0.8074950187998943,713.2857142857143,226.14285714285714,8006.285714285715,79.28571428571429,1619.0,-0.0007252799057159813,0.09376829883897007,0.10006540954625842,0.8023281884646646,547.0,121.0,5476.0,75.0,6912240,886.1846,4158.0,7639.0,16692.0
14,2020-03-26,747,0.07777483266398917,0.11357697456492608,0.1000655957161982,0.7863828647925032,2318.0,579,21327.0,85,1061.3333333333333,0.02322249480670042,0.09711005590367626,0.10009253005707282,0.8028904174207142,1705.6666666666667,546.6666666666666,17373.333333333332,85.0,1206.0,0.03301047928513386,0.09386596263200638,0.1000655957161982,0.8023281884646646,1739.0,579.0,18079.0,85.0,1404.857142857143,0.004157305882262026,0.0964681288378675,0.10040077385836133,0.8032078508413952,1011.7142857142857,298.42857142857144,10636.142857142857,80.71428571428571,1353.0,0.0024198078344419977,0.09386596263200638,0.1000655957161982,0.7984502776375582,678.0,131.0,8263.0,85.0,6912240,886.1846,4856.0,8867.0,18843.0
15,2020-03-27,1090,0.030448348623853195,0.08864587155963304,0.09610091743119273,0.8152513761467887,3151.0,833,26244.0,85,1014.3333333333334,0.022368451252940198,0.09537002554621848,0.09748170670418844,0.807198146648089,2402.6666666666665,697.0,21883.333333333332,85.0,1090.0,0.030448348623853195,0.08864587155963304,0.09627860696517432,0.8152513761467887,2318.0,679.0,21327.0,85.0,1277.5714285714287,0.016509536258252,0.09573635351224792,0.0987311205397771,0.8056080077712853,1417.0,405.2857142857143,13843.142857142857,82.14285714285714,1231.0,0.013756392835083396,0.09386596263200638,0.10006540954625842,0.8023281884646646,1060.0,382.0,12714.0,85.0,6912240,886.1846,5653.0,10303.0,20878.0
