,date,today_tweetCount,today_CompoundSent,today_posSent,today_negSent,today_neutralSent,today_posCases,today_posIncCases,today_negCases,today_dataQualityGrade,mean3_tweetCount,mean3_CompoundSent,mean3_posSent,mean3_negSent,mean3_neutralSent,mean3_posCases,mean3_posIncCases,mean3_negCases,mean3_dataQualityGrade,median3_tweetCount,median3_CompoundSent,median3_posSent,median3_negSent,median3_neutralSent,median3_posCases,median3_posIncCases,median3_negCases,median3_dataQualityGrade,mean7_tweetCount,mean7_CompoundSent,mean7_posSent,mean7_negSent,mean7_neutralSent,mean7_posCases,mean7_posIncCases,mean7_negCases,mean7_dataQualityGrade,median7_tweetCount,median7_CompoundSent,median7_posSent,median7_negSent,median7_neutralSent,median7_posCases,median7_posIncCases,median7_negCases,median7_dataQualityGrade,population,density,predict3,predict7,predict14
6,2020-03-13,210,-0.15499333333333326,0.07834285714285713,0.11638095238095235,0.8052476190476197,1,0,55.0,75,220.33333333333334,-0.10107025496161087,0.07501948635168974,0.1061444910080503,0.8188160613397905,0.6666666666666666,0.3333333333333333,36.666666666666664,75.0,210.0,-0.09449050847457632,0.07834285714285713,0.10914743589743592,0.8081666666666667,1.0,0.0,34.0,75.0,147.57142857142858,-0.10618029659998562,0.0737682932970458,0.10452105253661312,0.8217232304790343,0.2857142857142857,0.14285714285714285,22.571428571428573,75.0,118.0,-0.09449050847457632,0.07834285714285713,0.10045333333333333,0.8160266666666667,0.0,0.0,15.0,75.0,1085000,7.4547,7.0,16.0,108.0
7,2020-03-14,248,-0.12185645161290325,0.06921370967741933,0.10644354838709676,0.8243629032258059,5,4,103.0,75,251.0,-0.1237800978069376,0.07054371436382095,0.10524319517127058,0.8242148068595035,2.3333333333333335,1.6666666666666667,64.0,75.0,248.0,-0.12185645161290325,0.06921370967741933,0.10644354838709676,0.8243629032258059,1.0,1.0,55.0,75.0,173.14285714285714,-0.11529560749292625,0.07283816072508294,0.1068328637968816,0.8203257984346877,1.0,0.7142857142857143,35.714285714285715,75.0,156.0,-0.12185645161290325,0.07834285714285713,0.10644354838709676,0.8160266666666667,0.0,0.0,21.0,75.0,1085000,7.4547,8.0,20.0,129.0
8,2020-03-15,175,-0.03072514285714285,0.08550285714285714,0.1035371428571428,0.8110114285714287,7,2,103.0,75,211.0,-0.10252497593445979,0.07768647465437788,0.10878721454173061,0.8135406502816184,4.333333333333333,2.0,87.0,75.0,210.0,-0.12185645161290325,0.07834285714285713,0.10644354838709676,0.8110114285714287,5.0,2.0,103.0,75.0,187.42857142857142,-0.10881272313918476,0.07312333079311013,0.10727340801456867,0.8196093358496537,2.0,1.0,48.857142857142854,75.0,175.0,-0.12185645161290325,0.07834285714285713,0.10644354838709676,0.8110114285714287,1.0,0.0,34.0,75.0,1085000,7.4547,10.0,31.0,154.0
9,2020-03-16,121,-0.05155041322314048,0.07836363636363636,0.0840909090909091,0.8375619834710745,7,0,198.0,75,181.33333333333334,-0.06804400256439552,0.07769340106130428,0.09802386677838286,0.8243121050894366,6.333333333333333,2.0,134.66666666666666,75.0,175.0,-0.05155041322314048,0.07836363636363636,0.1035371428571428,0.8243629032258059,7.0,2.0,103.0,75.0,187.85714285714286,-0.09394559088776899,0.07293799070946497,0.10182150398639346,0.8252380453527853,3.0,1.0,75.57142857142857,75.0,175.0,-0.09449050847457632,0.07834285714285713,0.1035371428571428,0.8243629032258059,1.0,0.0,55.0,75.0,1085000,7.4547,12.0,34.0,171.0
10,2020-03-17,126,-0.008371428571428587,0.09674603174603176,0.10215873015873013,0.8011031746031743,8,1,303.0,75,140.66666666666666,-0.030215661550570636,0.08687084175084177,0.09659559403559398,0.816558862215226,7.333333333333333,1.0,201.33333333333334,75.0,126.0,-0.03072514285714285,0.08550285714285714,0.10215873015873013,0.8110114285714287,7.0,1.0,198.0,75.0,190.14285714285714,-0.07367345730706397,0.07926924199785912,0.10209482907400426,0.8186410962701219,4.142857142857143,1.1428571428571428,116.71428571428571,75.0,175.0,-0.05372692307692305,0.07836363636363636,0.1035371428571428,0.8110114285714287,5.0,1.0,103.0,75.0,1085000,7.4547,16.0,46.0,184.0
11,2020-03-18,169,-0.05800769230769232,0.09897633136094673,0.11096449704142013,0.7900295857988163,10,2,499.0,75,138.66666666666666,-0.03930984470075379,0.0913619998235383,0.09907137876368644,0.8095649146243552,8.333333333333334,1.0,333.3333333333333,75.0,126.0,-0.05155041322314048,0.09674603174603176,0.10215873015873013,0.8011031746031743,8.0,1.0,303.0,75.0,192.0,-0.07428499576860244,0.081602857100705,0.10235440923743057,0.8160500847175719,5.571428571428571,1.4285714285714286,185.0,75.0,175.0,-0.05800769230769232,0.07836363636363636,0.1035371428571428,0.8110114285714287,7.0,1.0,103.0,75.0,1085000,7.4547,20.0,53.0,208.0
12,2020-03-19,178,-0.00022584269662921294,0.10809550561797747,0.10220786516853927,0.7897022471910116,12,2,761.0,75,157.66666666666666,-0.02220165452525004,0.10127262290831868,0.1051103641228965,0.7936116691976677,10.0,1.6666666666666667,521.0,75.0,169.0,-0.008371428571428587,0.09897633136094673,0.10220786516853927,0.7900295857988163,10.0,2.0,499.0,75.0,175.28571428571428,-0.060818614943181415,0.08789156129310371,0.10368337786925579,0.8084312774155614,7.142857142857143,1.5714285714285714,288.85714285714283,75.0,175.0,-0.05155041322314048,0.08550285714285714,0.1035371428571428,0.8052476190476197,7.0,2.0,198.0,75.0,1085000,7.4547,31.0,71.0,227.0
13,2020-03-20,167,-0.1086245508982036,0.09512574850299403,0.1246167664670658,0.7802754491017965,16,4,931.0,75,171.33333333333334,-0.05561936196750838,0.10073252849397278,0.11259637622567507,0.7866690940305417,12.666666666666666,2.6666666666666665,730.3333333333334,75.0,169.0,-0.05800769230769232,0.09897633136094673,0.11096449704142013,0.7897022471910116,12.0,2.0,761.0,75.0,169.14285714285714,-0.05419450316673431,0.0902891172016947,0.10485992273870057,0.804863824566158,9.285714285714286,2.142857142857143,414.0,75.0,169.0,-0.05155041322314048,0.09512574850299403,0.1035371428571428,0.8011031746031743,8.0,2.0,303.0,75.0,1085000,7.4547,34.0,108.0,243.0
14,2020-03-21,123,0.04935934959349594,0.10312195121951223,0.08618699186991874,0.810674796747968,20,4,1146.0,75,156.0,-0.01983034800044562,0.10211440178016128,0.1043372078351746,0.7935508310135924,16.0,3.3333333333333335,946.0,75.0,167.0,-0.00022584269662921294,0.10312195121951223,0.10220786516853927,0.7897022471910116,16.0,4.0,931.0,75.0,151.28571428571428,-0.029735102994391575,0.09513315170770797,0.10196612895053227,0.8029083807836097,11.428571428571429,2.142857142857143,563.0,75.0,167.0,-0.03072514285714285,0.09674603174603176,0.10220786516853927,0.8011031746031743,10.0,2.0,499.0,75.0,1085000,7.4547,46.0,129.0,265.0
15,2020-03-22,157,0.0534,0.10933121019108287,0.10188535031847132,0.7888407643312109,31,11,1146.0,75,149.0,-0.001955067101569215,0.10252630330452973,0.10422970288515195,0.7932636700603254,22.333333333333332,6.333333333333333,1074.3333333333333,75.0,157.0,0.04935934959349594,0.10312195121951223,0.10188535031847132,0.7888407643312109,20.0,4.0,1146.0,75.0,148.71428571428572,-0.017717225443371166,0.09853720214316879,0.10173015858786492,0.7997411430350072,14.857142857142858,3.4285714285714284,712.0,75.0,157.0,-0.008371428571428587,0.09897633136094673,0.10215873015873013,0.7900295857988163,12.0,2.0,761.0,75.0,1085000,7.4547,53.0,154.0,286.0
