,date,today_tweetCount,today_CompoundSent,today_posSent,today_negSent,today_neutralSent,today_posCases,today_posIncCases,today_negCases,today_dataQualityGrade,mean3_tweetCount,mean3_CompoundSent,mean3_posSent,mean3_negSent,mean3_neutralSent,mean3_posCases,mean3_posIncCases,mean3_negCases,mean3_dataQualityGrade,median3_tweetCount,median3_CompoundSent,median3_posSent,median3_negSent,median3_neutralSent,median3_posCases,median3_posIncCases,median3_negCases,median3_dataQualityGrade,mean7_tweetCount,mean7_CompoundSent,mean7_posSent,mean7_negSent,mean7_neutralSent,mean7_posCases,mean7_posIncCases,mean7_negCases,mean7_dataQualityGrade,median7_tweetCount,median7_CompoundSent,median7_posSent,median7_negSent,median7_neutralSent,median7_posCases,median7_posIncCases,median7_negCases,median7_dataQualityGrade,population,density,predict3,predict7,predict14
6,2020-03-16,76,-0.14240526315789473,0.07390789473684209,0.10336842105263162,0.8227105263157896,1.0,0,123,75,111.66666666666667,-0.10021192901102237,0.07287133275286224,0.09730353141909798,0.8298279980563014,1.0,0.0,90.66666666666667,75.0,101.0,-0.08798811881188118,0.07390789473684209,0.10336842105263162,0.8227105263157896,1.0,0.0,95.0,75.0,121.57142857142857,-0.08044286607491602,0.07330604006664063,0.0967736171533139,0.8299079534583672,0.7142857142857143,0.14285714285714285,48.0,75.0,101.0,-0.07281489361702126,0.07250638297872337,0.09334042553191482,0.8270744680851059,1.0,0.0,39.0,75.0,770026,11.1596,15.0,30.0,107.0
7,2020-03-17,76,-0.11102236842105263,0.07167105263157897,0.12878947368421054,0.7995921052631578,1.0,0,220,75,84.33333333333333,-0.1138052501302762,0.07652961611950669,0.11234306062185172,0.8111371808233455,1.0,0.0,146.0,75.0,76.0,-0.11102236842105263,0.07390789473684209,0.1048712871287129,0.8111089108910885,1.0,0.0,123.0,75.0,124.0,-0.07665187270165234,0.0733123163505708,0.09758857828495657,0.8291087626848233,0.8571428571428571,0.14285714285714285,78.57142857142857,75.0,101.0,-0.07281489361702126,0.07250638297872337,0.09334042553191482,0.8270744680851059,1.0,0.0,54.0,75.0,770026,11.1596,20.0,33.0,117.0
8,2020-03-18,101,-0.09026336633663364,0.08687128712871288,0.10899999999999996,0.8041089108910896,6.0,5,268,75,84.33333333333333,-0.11456366597186035,0.07748341149904464,0.11371929824561405,0.8088038474900126,2.6666666666666665,1.6666666666666667,203.66666666666666,75.0,76.0,-0.11102236842105263,0.07390789473684209,0.10899999999999996,0.8041089108910896,1.0,0.0,220.0,75.0,125.0,-0.08860408612968208,0.07435471907108601,0.09982566035182587,0.8258279687999638,1.7142857142857142,0.8571428571428571,115.85714285714286,75.0,101.0,-0.08798811881188118,0.07250638297872337,0.10336842105263162,0.8227105263157896,1.0,0.0,95.0,75.0,770026,11.1596,28.0,39.0,139.0
9,2020-03-19,85,-0.027187058823529404,0.10261176470588232,0.11858823529411767,0.7787764705882351,15.0,9,493,75,87.33333333333333,-0.07615759786040524,0.08705136815539138,0.11879256965944274,0.7941591622474945,7.333333333333333,4.666666666666667,327.0,75.0,85.0,-0.09026336633663364,0.08687128712871288,0.11858823529411767,0.7995921052631578,6.0,5.0,268.0,75.0,103.57142857142857,-0.08208582401632612,0.07865548788925157,0.10355346296223174,0.8177936044159122,3.7142857142857144,2.0,184.57142857142858,75.0,101.0,-0.08798811881188118,0.07390789473684209,0.1048712871287129,0.8111089108910885,1.0,0.0,123.0,75.0,770026,11.1596,28.0,52.0,159.0
10,2020-03-20,91,-0.02149670329670329,0.10858241758241764,0.11637362637362635,0.7750439560439558,20.0,5,800,75,92.33333333333333,-0.046315709485622115,0.09935515647233761,0.114653953889248,0.7859764458410937,13.666666666666666,6.333333333333333,520.3333333333334,75.0,91.0,-0.027187058823529404,0.10261176470588232,0.11637362637362635,0.7787764705882351,15.0,5.0,493.0,75.0,98.28571428571429,-0.07865789770156943,0.08405007432959695,0.10923741851560693,0.8067150624221917,6.428571428571429,2.7142857142857144,293.2857142857143,75.0,91.0,-0.08798811881188118,0.08400990099009904,0.10899999999999996,0.8041089108910896,1.0,0.0,220.0,75.0,770026,11.1596,30.0,61.0,173.0
11,2020-03-21,87,-0.030451724137931038,0.08294252873563218,0.07774712643678162,0.8393218390804599,28.0,8,1141,75,87.66666666666667,-0.02637849541938792,0.09804557034131071,0.10423632936817522,0.7977140885708839,21.0,7.333333333333333,811.3333333333334,75.0,87.0,-0.027187058823529404,0.10261176470588232,0.11637362637362635,0.7787764705882351,20.0,8.0,800.0,75.0,88.14285714285714,-0.07297351471223228,0.08722812093016648,0.10839116713858298,0.804380388439111,10.285714285714286,3.857142857142857,448.57142857142856,75.0,87.0,-0.08798811881188118,0.08400990099009904,0.10899999999999996,0.8041089108910896,6.0,5.0,268.0,75.0,770026,11.1596,33.0,80.0,186.0
12,2020-03-22,100,0.11568699999999996,0.12158000000000005,0.08212,0.7964600000000001,28.0,0,1260,75,92.66666666666667,0.02124619085512187,0.10436831543934995,0.09208025093680265,0.8036085983748055,25.333333333333332,4.333333333333333,1067.0,75.0,91.0,-0.02149670329670329,0.10858241758241764,0.08212,0.7964600000000001,28.0,5.0,1141.0,75.0,88.0,-0.04387706916767783,0.09259527793158089,0.10514098326305256,0.802287686883241,14.142857142857142,3.857142857142857,615.0,75.0,87.0,-0.030451724137931038,0.08687128712871288,0.10899999999999996,0.7995921052631578,15.0,5.0,493.0,75.0,770026,11.1596,39.0,97.0,207.0
13,2020-03-23,85,0.02194470588235293,0.11769411764705888,0.10499999999999997,0.7774352941176471,30.0,2,1353,85,90.66666666666667,0.03572666058147394,0.10740554879423037,0.08828904214559385,0.804405711066036,28.666666666666668,3.3333333333333335,1251.3333333333333,78.33333333333333,87.0,0.02194470588235293,0.11769411764705888,0.08212,0.7964600000000001,28.0,2.0,1260.0,75.0,89.28571428571429,-0.020398502161928168,0.09885045263304042,0.10537406596981946,0.7958197965692207,18.285714285714285,4.142857142857143,790.7142857142857,76.42857142857143,87.0,-0.027187058823529404,0.10261176470588232,0.10899999999999996,0.7964600000000001,20.0,5.0,800.0,75.0,770026,11.1596,52.0,107.0,225.0
14,2020-03-24,62,-0.02615322580645161,0.10758064516129033,0.14874193548387096,0.7439032258064517,33.0,3,1454,85,82.33333333333333,0.03715949335863375,0.11561825426944976,0.11195397849462363,0.7725995066413667,30.333333333333332,1.6666666666666667,1355.6666666666667,81.66666666666667,85.0,0.02194470588235293,0.11769411764705888,0.10499999999999997,0.7774352941176471,30.0,2.0,1353.0,85.0,87.28571428571429,-0.008274338931270876,0.10398039442299918,0.10822441765548522,0.7878642423611197,22.857142857142858,4.571428571428571,967.0,77.85714285714286,87.0,-0.02615322580645161,0.10758064516129033,0.10899999999999996,0.7787764705882351,28.0,5.0,1141.0,75.0,770026,11.1596,61.0,117.0,237.0
15,2020-03-25,47,-0.08052765957446807,0.09125531914893616,0.10378723404255323,0.8051489361702131,39.0,6,1734,85,64.66666666666667,-0.028245393166188928,0.10551002731909513,0.11917638984214136,0.7754958186981044,34.0,3.6666666666666665,1513.6666666666667,85.0,62.0,-0.02615322580645161,0.10758064516129033,0.10499999999999997,0.7774352941176471,33.0,3.0,1454.0,85.0,79.57142857142857,-0.0068835236795329385,0.1046066847116025,0.1074797368044214,0.7880128174009945,27.571428571428573,4.714285714285714,1176.4285714285713,79.28571428571429,85.0,-0.02615322580645161,0.10758064516129033,0.10499999999999997,0.7787764705882351,28.0,5.0,1260.0,75.0,770026,11.1596,80.0,139.0,251.0
