,date,today_tweetCount,today_CompoundSent,today_posSent,today_negSent,today_neutralSent,today_posCases,today_posIncCases,today_negCases,today_dataQualityGrade,mean3_tweetCount,mean3_CompoundSent,mean3_posSent,mean3_negSent,mean3_neutralSent,mean3_posCases,mean3_posIncCases,mean3_negCases,mean3_dataQualityGrade,median3_tweetCount,median3_CompoundSent,median3_posSent,median3_negSent,median3_neutralSent,median3_posCases,median3_posIncCases,median3_negCases,median3_dataQualityGrade,mean7_tweetCount,mean7_CompoundSent,mean7_posSent,mean7_negSent,mean7_neutralSent,mean7_posCases,mean7_posIncCases,mean7_negCases,mean7_dataQualityGrade,median7_tweetCount,median7_CompoundSent,median7_posSent,median7_negSent,median7_neutralSent,median7_posCases,median7_posIncCases,median7_negCases,median7_dataQualityGrade,population,density,predict3,predict7,predict14
6,2020-03-11,3785,-0.051930594451783545,0.07169986789960382,0.10104280052840243,0.82696010568033,4,1,21.0,75,2414.0,-0.07272448297239585,0.06904922214486948,0.10370743051192344,0.8271407653216759,3.3333333333333335,1.3333333333333333,15.333333333333334,75.0,2196.0,-0.07320177595628405,0.06913296903460824,0.10104280052840243,0.82696010568033,3.0,1.0,14.0,75.0,1429.857142857143,-0.040349330664944665,0.07580500527093795,0.09821994930326158,0.825939425102502,1.4285714285714286,0.5714285714285714,11.428571428571429,75.0,1201.0,-0.06118033282904694,0.07169986789960382,0.10104280052840243,0.82696010568033,0.0,0.0,10.0,75.0,11714600,286.6939,13.0,88.0,704.0
7,2020-03-12,6916,-0.051488606130711184,0.06770271833429745,0.09082186234817803,0.8414702139965311,5,1,30.0,75,4299.0,-0.05887365884625959,0.06951185175616982,0.10061897384289166,0.8297616851867624,4.0,0.6666666666666666,21.666666666666668,75.0,3785.0,-0.051930594451783545,0.06913296903460824,0.10104280052840243,0.82696010568033,4.0,1.0,21.0,75.0,2406.8571428571427,-0.06469631150365479,0.07318183145227543,0.10026685728250037,0.8265130920370714,2.142857142857143,0.7142857142857143,14.714285714285714,75.0,1261.0,-0.06118033282904694,0.06913296903460824,0.10104280052840243,0.82696010568033,3.0,0.0,11.0,75.0,11714600,286.6939,36.0,119.0,867.0
8,2020-03-13,3428,-0.10398159276546053,0.07067911318553054,0.10638593932321994,0.8225837222870551,13,8,50.0,75,4709.666666666667,-0.06913359778265175,0.07002723313981057,0.09941686739993345,0.8303380139879724,7.333333333333333,3.3333333333333335,33.666666666666664,75.0,3785.0,-0.051930594451783545,0.07067911318553054,0.10104280052840243,0.82696010568033,5.0,1.0,30.0,75.0,2802.1428571428573,-0.07081077720885673,0.07190430688249709,0.1010099102093749,0.8269950113004693,4.0,1.8571428571428572,20.714285714285715,75.0,2196.0,-0.06656186511240611,0.06913296903460824,0.10104280052840243,0.82696010568033,3.0,1.0,14.0,75.0,11714600,286.6939,50.0,169.0,1137.0
9,2020-03-14,4587,-0.10575742315238612,0.05678940483976441,0.10281076956616493,0.8404033137126716,13,0,50.0,75,4977.0,-0.08707587401618594,0.06505707878653078,0.10000619041252096,0.8348190833320862,10.333333333333334,3.0,43.333333333333336,75.0,4587.0,-0.10398159276546053,0.06770271833429745,0.10281076956616493,0.8404033137126716,13.0,1.0,50.0,75.0,3339.1428571428573,-0.07799470515402164,0.06675603690446481,0.10051031000247095,0.8326401016652195,5.857142857142857,1.8571428571428572,26.571428571428573,75.0,3428.0,-0.07320177595628405,0.06770271833429745,0.10104280052840243,0.8336074544012714,4.0,1.0,21.0,75.0,11714600,286.6939,67.0,247.0,1406.0
10,2020-03-15,3196,-0.12143933041301548,0.07379943679599492,0.1329543178973717,0.7929777847309223,36,23,139.0,75,3737.0,-0.11039278211028736,0.06708931827376327,0.11405034226225219,0.8186549402435501,20.666666666666668,10.333333333333334,79.66666666666667,75.0,3428.0,-0.10575742315238612,0.07067911318553054,0.10638593932321994,0.8225837222870551,13.0,8.0,50.0,75.0,3624.1428571428573,-0.08583434305410868,0.06801690565574225,0.1062993115243864,0.8255510472417438,11.0,5.142857142857143,45.0,75.0,3428.0,-0.09304107850911997,0.06913296903460824,0.10281076956616493,0.82696010568033,5.0,1.0,30.0,75.0,11714600,286.6939,88.0,351.0,1653.0
11,2020-03-16,2107,-0.09802520170859044,0.06841765543426667,0.10867821547223536,0.8229155196962531,50,14,140.0,75,3296.6666666666665,-0.10840731842466399,0.06633549902334197,0.114814434311924,0.8187655393799496,33.0,12.333333333333334,109.66666666666667,75.0,3196.0,-0.10575742315238612,0.06841765543426667,0.10867821547223536,0.8229155196962531,36.0,14.0,139.0,75.0,3745.0,-0.08654636065403302,0.06831730936058086,0.10752659482680953,0.8240236279981697,17.714285714285715,6.714285714285714,63.42857142857143,75.0,3428.0,-0.09802520170859044,0.06913296903460824,0.10638593932321994,0.8229155196962531,13.0,1.0,50.0,75.0,11714600,286.6939,119.0,442.0,1933.0
12,2020-03-17,2751,-0.0685168665939656,0.09166339512904312,0.1376659396583062,0.7706692111959313,67,17,140.0,75,2684.6666666666665,-0.09599379957185715,0.07796016245310154,0.12643282434263775,0.7955208385410361,51.0,18.0,139.66666666666666,75.0,2751.0,-0.09802520170859044,0.07379943679599492,0.1329543178973717,0.7929777847309223,50.0,17.0,140.0,75.0,3824.285714285714,-0.08587708788798754,0.07153594165978584,0.11147997782769692,0.8168542673285278,26.857142857142858,9.142857142857142,81.42857142857143,75.0,3428.0,-0.09802520170859044,0.07067911318553054,0.10638593932321994,0.8229155196962531,13.0,8.0,50.0,75.0,11714600,286.6939,169.0,564.0,2199.0
13,2020-03-18,2993,-0.02238509856331424,0.1158169061142672,0.11302271967925168,0.7707761443367868,88,21,140.0,75,2617.0,-0.0629757222886234,0.09196598555919229,0.11978895826993108,0.7881202917429908,68.33333333333333,17.333333333333332,140.0,75.0,2751.0,-0.0685168665939656,0.09166339512904312,0.11302271967925168,0.7707761443367868,67.0,17.0,140.0,75.0,3711.1428571428573,-0.08165630276106337,0.07783837569045204,0.11319139484924681,0.8088279871365931,38.857142857142854,12.0,98.42857142857143,75.0,3196.0,-0.09802520170859044,0.07067911318553054,0.10867821547223536,0.8225837222870551,36.0,14.0,139.0,75.0,11714600,286.6939,247.0,704.0,2547.0
14,2020-03-19,2647,0.0004098224404987074,0.11471854930109596,0.11055459010200204,0.7732334718549315,119,31,140.0,75,2797.0,-0.03016404757226035,0.10739961684813537,0.12041441647985329,0.7715596091292168,91.33333333333333,23.0,140.0,75.0,2751.0,-0.02238509856331424,0.11471854930109596,0.11302271967925168,0.7707761443367868,88.0,21.0,140.0,75.0,3101.285714285714,-0.07424224153660482,0.08455492297142327,0.11601035595693597,0.7990798811163646,55.142857142857146,16.285714285714285,114.14285714285714,75.0,2993.0,-0.09802520170859044,0.07379943679599492,0.11055459010200204,0.7929777847309223,50.0,17.0,140.0,75.0,11714600,286.6939,351.0,867.0,2902.0
15,2020-03-20,2662,-0.045842449286250725,0.1018185574755822,0.11602178812922635,0.7821679188580052,169,50,140.0,75,2767.3333333333335,-0.022605908469688726,0.11078467096364841,0.11319969930349334,0.7753925116832415,125.33333333333333,34.0,140.0,75.0,2662.0,-0.02238509856331424,0.11471854930109596,0.11302271967925168,0.7732334718549315,119.0,31.0,140.0,75.0,2991.8571428571427,-0.0659366496110034,0.08900341501285922,0.11738690578636546,0.7933061949122147,77.42857142857143,22.285714285714285,127.0,75.0,2751.0,-0.0685168665939656,0.09166339512904312,0.11302271967925168,0.7821679188580052,67.0,21.0,140.0,75.0,11714600,286.6939,442.0,1137.0,3312.0
16,2020-03-21,1876,-0.028789445628998014,0.09315724946695107,0.10327345415778233,0.803577825159915,247,78,140.0,75,2395.0,-0.024740690824916655,0.10323145208120971,0.10994994412967023,0.7863264052909509,178.33333333333334,53.0,140.0,75.0,2647.0,-0.028789445628998014,0.1018185574755822,0.11055459010200204,0.7821679188580052,169.0,50.0,140.0,75.0,2604.5714285714284,-0.05494122425051939,0.09419882138817158,0.11745300358516794,0.7880454108332494,110.85714285714286,33.42857142857143,139.85714285714286,75.0,2662.0,-0.045842449286250725,0.09315724946695107,0.11302271967925168,0.7821679188580052,88.0,23.0,140.0,75.0,11714600,286.6939,564.0,1406.0,3739.0
