,date,today_tweetCount,today_CompoundSent,today_posSent,today_negSent,today_neutralSent,today_posCases,today_posIncCases,today_negCases,today_dataQualityGrade,mean3_tweetCount,mean3_CompoundSent,mean3_posSent,mean3_negSent,mean3_neutralSent,mean3_posCases,mean3_posIncCases,mean3_negCases,mean3_dataQualityGrade,median3_tweetCount,median3_CompoundSent,median3_posSent,median3_negSent,median3_neutralSent,median3_posCases,median3_posIncCases,median3_negCases,median3_dataQualityGrade,mean7_tweetCount,mean7_CompoundSent,mean7_posSent,mean7_negSent,mean7_neutralSent,mean7_posCases,mean7_posIncCases,mean7_negCases,mean7_dataQualityGrade,median7_tweetCount,median7_CompoundSent,median7_posSent,median7_negSent,median7_neutralSent,median7_posCases,median7_posIncCases,median7_negCases,median7_dataQualityGrade,population,density,predict3,predict7,predict14
6,2020-03-12,5867,-0.03987557525140558,0.06984165672404984,0.08886142832793513,0.8412928242713539,22.0,6,116.0,75,3345.3333333333335,-0.055463495449610316,0.07476263553037006,0.10490818441224413,0.8203130401296742,16.666666666666668,4.0,68.0,75.0,2634.0,-0.04401875474563393,0.07216416938110745,0.1115132877752468,0.8134671009771983,16.0,4.0,88.0,75.0,1954.7142857142858,-0.06399625233009452,0.07517796388162175,0.10210694155590945,0.8227151726317629,10.285714285714286,2.857142857142857,29.142857142857142,75.0,1065.0,-0.06702464387464381,0.07271174728529152,0.10103846153846154,0.8211025641025652,10.0,2.0,0.0,75.0,12804100,286.1699,63.0,185.0,1687.0
7,2020-03-13,2781,-0.09934261057173636,0.07362171880618451,0.10516073354908302,0.820798633585045,41.0,19,140.0,75,3760.6666666666665,-0.06107898018959196,0.07524848533872909,0.10184514988408833,0.8227568843322898,26.333333333333332,9.666666666666666,114.66666666666667,75.0,2781.0,-0.04401875474563393,0.07362171880618451,0.10516073354908302,0.820798633585045,22.0,6.0,116.0,75.0,2251.714285714286,-0.06861310471539346,0.07457060665775961,0.10269583755742681,0.8226717539864028,15.857142857142858,5.571428571428571,49.142857142857146,75.0,1535.0,-0.08220826291079825,0.07271174728529152,0.10516073354908302,0.820798633585045,12.0,4.0,0.0,75.0,12804100,286.1699,76.0,268.0,2218.0
8,2020-03-14,3589,-0.09093956533853344,0.06336166062970182,0.10435441627194217,0.8322881025355245,47.0,6,205.0,75,4079.0,-0.07671925038722512,0.06894167871997874,0.09945885938298678,0.8314598534639748,36.666666666666664,10.333333333333334,153.66666666666666,75.0,3589.0,-0.09093956533853344,0.06984165672404984,0.10435441627194217,0.8322881025355245,41.0,6.0,140.0,75.0,2640.5714285714284,-0.06923037331788291,0.07228597323643014,0.10248102109800579,0.8251685054937842,22.0,6.142857142857143,78.42857142857143,75.0,2634.0,-0.08220826291079825,0.07216416938110745,0.10435441627194217,0.8290638497652597,16.0,4.0,88.0,75.0,12804100,286.1699,96.0,371.0,2751.0
9,2020-03-15,2506,-0.09113547486033467,0.07877015163607308,0.12477294493216302,0.7965067837190835,63.0,16,205.0,75,2958.6666666666665,-0.09380588359020149,0.07191784369065314,0.11142936491772941,0.8165311732798846,50.333333333333336,13.666666666666666,183.33333333333334,75.0,2781.0,-0.09113547486033467,0.07362171880618451,0.10516073354908302,0.820798633585045,47.0,16.0,205.0,75.0,2853.8571428571427,-0.07571662857574765,0.07315145957225608,0.10684768210721197,0.8199423557134191,30.142857142857142,8.142857142857142,107.71428571428571,75.0,2634.0,-0.0824961563517914,0.07216416938110745,0.10516073354908302,0.820798633585045,22.0,6.0,116.0,75.0,12804100,286.1699,133.0,479.0,3394.0
10,2020-03-16,1621,-0.09077119062307228,0.0685755706354103,0.1119487970388646,0.819478099938311,76.0,13,670.0,75,2572.0,-0.09094874360731346,0.07023579430039507,0.1136920527476566,0.8160909953976399,62.0,11.666666666666666,360.0,75.0,2506.0,-0.09093956533853344,0.0685755706354103,0.1119487970388646,0.819478099938311,63.0,13.0,205.0,75.0,2933.285714285714,-0.07693990396321536,0.07265957261406854,0.10870877786125503,0.8185729628809979,39.57142857142857,9.428571428571429,203.42857142857142,75.0,2634.0,-0.09077119062307228,0.07216416938110745,0.1115132877752468,0.819478099938311,41.0,6.0,140.0,75.0,12804100,286.1699,185.0,644.0,4087.0
11,2020-03-17,2220,-0.0564912162162163,0.08989414414414365,0.12971891891891865,0.7803905405405429,96.0,20,879.0,75,2115.6666666666665,-0.07946596056654108,0.07907995547187568,0.12214688696331544,0.7987918080659792,78.33333333333333,16.333333333333332,584.6666666666666,75.0,2220.0,-0.09077119062307228,0.07877015163607308,0.12477294493216302,0.7965067837190835,76.0,16.0,670.0,75.0,3031.1428571428573,-0.07322491251527606,0.07519242615164513,0.1109043609734505,0.8138477399614757,51.57142857142857,12.0,329.0,75.0,2634.0,-0.09077119062307228,0.07362171880618451,0.1115132877752468,0.819478099938311,47.0,13.0,205.0,75.0,12804100,286.1699,268.0,851.0,4843.0
12,2020-03-18,2522,-0.027811260904044448,0.11321570182394965,0.1105931800158606,0.7761387787470324,133.0,37,1187.0,75,2121.0,-0.05835788924777766,0.0905618055345012,0.1174202986578813,0.7920024730752955,101.66666666666667,23.333333333333332,912.0,75.0,2220.0,-0.0564912162162163,0.08989414414414365,0.1119487970388646,0.7803905405405429,96.0,20.0,879.0,75.0,3015.1428571428573,-0.07090955625219184,0.07961151491421611,0.11077291700782389,0.8095562519052704,68.28571428571429,16.714285714285715,486.0,75.0,2522.0,-0.09077119062307228,0.07362171880618451,0.1105931800158606,0.819478099938311,63.0,16.0,205.0,75.0,12804100,286.1699,371.0,1127.0,5805.0
13,2020-03-19,2332,-0.0025232418524870947,0.1052881646655237,0.1007628644939962,0.7926715265866242,185.0,52,1608.0,75,2358.0,-0.02894190632424927,0.10279933687787234,0.11369165447625851,0.7830669486247333,138.0,36.333333333333336,1224.6666666666667,75.0,2332.0,-0.027811260904044448,0.1052881646655237,0.1105931800158606,0.7803905405405429,133.0,37.0,1187.0,75.0,2510.1428571428573,-0.06557350862377491,0.08467530176299809,0.11247312217440406,0.8026103522360233,91.57142857142857,23.285714285714285,699.1428571428571,75.0,2506.0,-0.09077119062307228,0.07877015163607308,0.1105931800158606,0.7965067837190835,76.0,19.0,670.0,75.0,12804100,286.1699,479.0,1687.0,7016.0
14,2020-03-20,2366,-0.08136403212172427,0.09684868977176654,0.12856297548605242,0.7745866441251082,268.0,83,2574.0,75,2406.6666666666665,-0.037232844959418594,0.10511751875374663,0.11330633999863644,0.781132316486255,195.33333333333334,57.333333333333336,1789.6666666666667,75.0,2366.0,-0.027811260904044448,0.1052881646655237,0.1105931800158606,0.7761387787470324,185.0,52.0,1608.0,75.0,2450.8571428571427,-0.06300514027377319,0.08799344047236694,0.1158162995939711,0.7960086394560324,124.0,32.42857142857143,1046.857142857143,75.0,2366.0,-0.08136403212172427,0.08989414414414365,0.1119487970388646,0.7926715265866242,96.0,20.0,879.0,75.0,12804100,286.1699,644.0,2218.0,8420.0
15,2020-03-21,1736,-0.032898963133640664,0.09438018433179736,0.1053513824884792,0.8002770737327165,371.0,103,3766.0,75,2144.6666666666665,-0.03892874570261733,0.0988390129230292,0.11155907415617598,0.7891784148148163,274.6666666666667,79.33333333333333,2649.3333333333335,75.0,2332.0,-0.032898963133640664,0.09684868977176654,0.1053513824884792,0.7926715265866242,268.0,83.0,2574.0,75.0,2186.1428571428573,-0.054713625673074216,0.09242465814409488,0.11595872333919068,0.7914356353413455,170.28571428571428,46.285714285714285,1555.5714285714287,75.0,2332.0,-0.0564912162162163,0.09438018433179736,0.1119487970388646,0.7926715265866242,133.0,37.0,1187.0,75.0,12804100,286.1699,851.0,2751.0,10017.0
