,date,today_tweetCount,today_CompoundSent,today_posSent,today_negSent,today_neutralSent,today_posCases,today_posIncCases,today_negCases,today_dataQualityGrade,mean3_tweetCount,mean3_CompoundSent,mean3_posSent,mean3_negSent,mean3_neutralSent,mean3_posCases,mean3_posIncCases,mean3_negCases,mean3_dataQualityGrade,median3_tweetCount,median3_CompoundSent,median3_posSent,median3_negSent,median3_neutralSent,median3_posCases,median3_posIncCases,median3_negCases,median3_dataQualityGrade,mean7_tweetCount,mean7_CompoundSent,mean7_posSent,mean7_negSent,mean7_neutralSent,mean7_posCases,mean7_posIncCases,mean7_negCases,mean7_dataQualityGrade,median7_tweetCount,median7_CompoundSent,median7_posSent,median7_negSent,median7_neutralSent,median7_posCases,median7_posIncCases,median7_negCases,median7_dataQualityGrade,population,density,predict3,predict7,predict14
6,2020-03-12,190,-0.033845263157894684,0.06553157894736844,0.08604210526315789,0.8484315789473678,2.0,0,136.0,75,117.66666666666667,-0.052771580424124255,0.07696119971646291,0.09766033138401563,0.8253771368657331,1.6666666666666667,0.3333333333333333,95.66666666666667,75.0,108.0,-0.033845263157894684,0.0794909090909091,0.1018,0.8187090909090909,2.0,0.0,91.0,75.0,74.14285714285714,-0.05528733338785969,0.08321928320217796,0.09810433134117345,0.8186767255161992,1.1428571428571428,0.2857142857142857,54.0,75.0,52.0,-0.04015,0.08116666666666666,0.1018,0.8187090909090909,1.0,0.0,36.0,75.0,623251,67.6197,12.0,28.0,185.0
7,2020-03-13,113,-0.11470442477876112,0.0875132743362832,0.10819469026548677,0.8041946902654865,5.0,3,223.0,75,137.0,-0.05617366141098403,0.07963532146492093,0.09979189480584455,0.8205390033178649,3.0,1.3333333333333333,150.0,75.0,113.0,-0.033845263157894684,0.08586111111111111,0.10513888888888888,0.8089907407407408,2.0,1.0,136.0,75.0,85.14285714285714,-0.06482248930863509,0.08412594144069462,0.10069166804576679,0.8151688241255545,1.8571428571428572,0.7142857142857143,85.85714285714286,75.0,55.0,-0.04015,0.08298076923076922,0.1029736842105263,0.8133846153846155,1.0,0.0,60.0,75.0,623251,67.6197,17.0,44.0,213.0
8,2020-03-14,134,-0.09675820895522393,0.07187313432835822,0.09970895522388057,0.828492537313433,8.0,3,332.0,75,145.66666666666666,-0.0817692989639599,0.07497266253733664,0.09798191691750845,0.827039602175429,5.0,2.0,230.33333333333334,75.0,134.0,-0.09675820895522393,0.07187313432835822,0.09970895522388057,0.828492537313433,5.0,3.0,223.0,75.0,98.85714285714286,-0.07512478983607308,0.07838225386354278,0.10022527819053169,0.8213933219372479,2.857142857142857,1.0,129.71428571428572,75.0,108.0,-0.09675820895522393,0.0794909090909091,0.1018,0.8187090909090909,2.0,0.0,91.0,75.0,623251,67.6197,19.0,52.0,234.0
9,2020-03-15,131,-0.044142748091603054,0.08403816793893132,0.09893129770992368,0.8170916030534356,12.0,4,405.0,75,126.0,-0.08520179394186271,0.08114152553452426,0.10227831439976369,0.8165929435441184,8.333333333333334,3.3333333333333335,320.0,75.0,131.0,-0.09675820895522393,0.08403816793893132,0.09970895522388057,0.8170916030534356,8.0,3.0,332.0,75.0,111.85714285714286,-0.0756951824205878,0.07961270642624725,0.10050117786337794,0.819899265230596,4.428571428571429,1.5714285714285714,183.28571428571428,75.0,113.0,-0.09675820895522393,0.08298076923076922,0.1018,0.8170916030534356,2.0,1.0,136.0,75.0,623251,67.6197,21.0,76.0,256.0
10,2020-03-16,56,-0.1429214285714285,0.059392857142857136,0.09428571428571428,0.846267857142857,17.0,5,487.0,75,107.0,-0.09460746187275183,0.07176805313671558,0.09764198907317286,0.830617332503242,12.333333333333334,4.0,408.0,75.0,131.0,-0.09675820895522393,0.07187313432835822,0.09893129770992368,0.828492537313433,12.0,4.0,405.0,75.0,112.42857142857143,-0.07954879309562704,0.07624300469940266,0.09915737880529317,0.8245968711960591,6.714285714285714,2.2857142857142856,247.71428571428572,75.0,113.0,-0.09675820895522393,0.0794909090909091,0.09970895522388057,0.8187090909090909,5.0,3.0,223.0,75.0,623251,67.6197,28.0,97.0,293.0
11,2020-03-17,79,-0.10852658227848104,0.06781012658227847,0.11956962025316455,0.8126202531645571,19.0,2,581.0,75,88.66666666666667,-0.09853025298050422,0.07041371722135566,0.10426221074960085,0.8253265711202834,16.0,3.6666666666666665,491.0,75.0,79.0,-0.10852658227848104,0.06781012658227847,0.09893129770992368,0.8170916030534356,17.0,4.0,487.0,75.0,115.85714285714286,-0.08012427887566978,0.074574321483884,0.10169589598431668,0.8237270372325541,9.285714285714286,2.5714285714285716,322.14285714285717,75.0,113.0,-0.09675820895522393,0.07187313432835822,0.09970895522388057,0.8170916030534356,8.0,3.0,332.0,75.0,623251,67.6197,44.0,125.0,320.0
12,2020-03-18,84,-0.09145714285714283,0.1061190476190476,0.11107142857142856,0.7827976190476189,21.0,2,637.0,75,73.0,-0.11430171790235082,0.07777401044806109,0.10830892103676915,0.8138952431183445,19.0,3.0,568.3333333333334,75.0,79.0,-0.10852658227848104,0.06781012658227847,0.11107142857142856,0.8126202531645571,19.0,2.0,581.0,75.0,112.42857142857143,-0.09033654267007643,0.07746831241358922,0.10254340165325092,0.8199851627049652,12.0,2.7142857142857144,400.14285714285717,75.0,113.0,-0.09675820895522393,0.07187313432835822,0.09970895522388057,0.8170916030534356,12.0,3.0,405.0,75.0,623251,67.6197,52.0,160.0,359.0
13,2020-03-19,99,0.130179797979798,0.11742424242424244,0.06072727272727274,0.8218888888888891,28.0,7,764.0,75,87.33333333333333,-0.02326797571860864,0.09711780554185619,0.09712277385062196,0.8057689203670219,22.666666666666668,3.6666666666666665,660.6666666666666,75.0,84.0,-0.09145714285714283,0.1061190476190476,0.11107142857142856,0.8126202531645571,21.0,2.0,637.0,75.0,99.42857142857143,-0.06690439107897747,0.08488155005314264,0.09892699700526732,0.8161933498394683,15.714285714285714,3.7142857142857144,489.85714285714283,75.0,99.0,-0.09675820895522393,0.08403816793893132,0.09970895522388057,0.8170916030534356,17.0,3.0,487.0,75.0,623251,67.6197,76.0,185.0,390.0
14,2020-03-20,111,-0.06555675675675672,0.08316216216216217,0.09487387387387383,0.8219369369369369,44.0,16,957.0,75,98.0,-0.00894470054470054,0.10223515073515076,0.08889085839085838,0.8088744816244818,31.0,8.333333333333334,786.0,75.0,99.0,-0.06555675675675672,0.1061190476190476,0.09487387387387383,0.8218888888888891,28.0,7.0,764.0,75.0,99.14285714285714,-0.05988329564726256,0.08425996259969679,0.0970240232350369,0.8187279565068184,21.285714285714285,5.571428571428571,594.7142857142857,75.0,99.0,-0.09145714285714283,0.08316216216216217,0.09893129770992368,0.8218888888888891,19.0,4.0,581.0,75.0,623251,67.6197,97.0,213.0,460.0
15,2020-03-21,74,-0.047885135135135135,0.06774324324324324,0.09305405405405404,0.8391351351351352,52.0,8,1080.0,75,94.66666666666667,0.005579302029302027,0.08944321594321597,0.08288506688506687,0.827653653653654,41.333333333333336,10.333333333333334,933.6666666666666,75.0,99.0,-0.047885135135135135,0.08316216216216217,0.09305405405405404,0.8219369369369369,44.0,8.0,957.0,75.0,90.57142857142857,-0.05290142795867845,0.08366997815896607,0.09607332306791881,0.8202483276242044,27.571428571428573,6.285714285714286,701.5714285714286,75.0,84.0,-0.06555675675675672,0.08316216216216217,0.09487387387387383,0.8218888888888891,21.0,5.0,637.0,75.0,623251,67.6197,125.0,234.0,512.0
16,2020-03-22,82,-0.09456097560975614,0.08637804878048784,0.12625609756097564,0.7874146341463416,76.0,24,1204.0,75,89.0,-0.06933428916721603,0.0790944847286311,0.10472800849630119,0.8161622354061381,57.333333333333336,16.0,1080.3333333333333,75.0,82.0,-0.06555675675675672,0.08316216216216217,0.09487387387387383,0.8219369369369369,52.0,16.0,1080.0,75.0,83.57142857142857,-0.06010403188984317,0.084004246850617,0.09997686590378338,0.8160087606374766,36.714285714285715,9.142857142857142,815.7142857142857,75.0,82.0,-0.09145714285714283,0.08316216216216217,0.09487387387387383,0.8218888888888891,28.0,7.0,764.0,75.0,623251,67.6197,160.0,256.0,543.0
17,2020-03-23,90,-0.05103333333333331,0.10213333333333337,0.1301444444444445,0.7678555555555555,97.0,21,1424.0,95,82.0,-0.06449314802607488,0.08541820845235483,0.11648486535315809,0.7981351082790109,75.0,17.666666666666668,1236.0,81.66666666666667,82.0,-0.05103333333333331,0.08637804878048784,0.12625609756097564,0.7874146341463416,76.0,21.0,1204.0,75.0,88.42857142857143,-0.046977161141543856,0.09011002916354217,0.10509954164074484,0.804807003267862,48.142857142857146,11.428571428571429,949.5714285714286,77.85714285714286,84.0,-0.06555675675675672,0.08637804878048784,0.11107142857142856,0.8126202531645571,44.0,8.0,957.0,75.0,623251,67.6197,185.0,293.0,575.0
18,2020-03-24,78,0.04081794871794872,0.10493589743589747,0.10167948717948716,0.7935256410256408,125.0,28,1569.0,95,83.33333333333333,-0.03492545340838026,0.09781575984990624,0.11936000972830246,0.7829319435758461,99.33333333333333,24.333333333333332,1399.0,88.33333333333333,82.0,-0.05103333333333331,0.10213333333333337,0.12625609756097564,0.7874146341463416,97.0,24.0,1424.0,95.0,88.28571428571429,-0.025642228142053882,0.09541371071405917,0.1025438083445052,0.8020792015337312,63.285714285714285,15.142857142857142,1090.7142857142858,80.71428571428571,84.0,-0.05103333333333331,0.10213333333333337,0.10167948717948716,0.7935256410256408,52.0,16.0,1080.0,75.0,623251,67.6197,213.0,320.0,608.0
19,2020-03-25,51,-0.21151372549019606,0.05325490196078432,0.11305882352941175,0.8337647058823531,160.0,35,1810.0,95,73.0,-0.07390970336852691,0.08677471091000506,0.11496091838444784,0.7983819674878498,127.33333333333333,28.0,1601.0,95.0,78.0,-0.05103333333333331,0.10213333333333337,0.11305882352941175,0.7935256410256408,125.0,28.0,1569.0,95.0,83.57142857142857,-0.04279316851820434,0.08786168990573585,0.10282772190993138,0.8093602139386933,83.14285714285714,19.857142857142858,1258.2857142857142,83.57142857142857,82.0,-0.05103333333333331,0.08637804878048784,0.10167948717948716,0.8218888888888891,76.0,21.0,1204.0,75.0,623251,67.6197,234.0,359.0,631.0
20,2020-03-26,40,-0.068605,0.07024999999999998,0.103625,0.826075,185.0,25,2744.0,95,56.333333333333336,-0.07976692559074915,0.07614693313222727,0.106121103569633,0.8177884489693312,156.66666666666666,29.333333333333332,2041.0,95.0,51.0,-0.068605,0.07024999999999998,0.103625,0.826075,160.0,28.0,1810.0,95.0,75.14285714285714,-0.07119099680103262,0.08112251241655836,0.10895596866317812,0.8099582298117092,105.57142857142857,22.428571428571427,1541.142857142857,86.42857142857143,78.0,-0.06555675675675672,0.08316216216216217,0.103625,0.8219369369369369,97.0,24.0,1424.0,95.0,623251,67.6197,256.0,390.0,680.0
